"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"1","Simple median",-0.0135953090727355,0.00541658550000339,-0.024211621571924,-0.00297899657354697,0.0120751395021084,"all",88
"2","Simple median",-0.0135953090727355,0.00541658550000339,-0.024211621571924,-0.00297899657354697,0.0120751395021084,"Steiger Filtered",88
"3","Simple median",-0.0184123705019924,0.00598960370809608,-0.0301517780515282,-0.00667296295245648,0.00211170583385621,"PheWAS T-test Filtered",72
"4","Simple median",-0.0230175000212482,0.00640322000000153,-0.0355675806063378,-0.0104674194361586,0.000324795762012239,"PheWAS PVE Filtered",67
"5","Simple median",-0.026880115630865,0.00743290291417744,-0.0414483376432355,-0.0123118936184944,0.000298765033952232,"Core GI",52
"21","Weighted median",-0.0207810564684552,0.00592755558240834,-0.0323988519263349,-0.00916326101057552,0.000455170187762681,"all",88
"22","Weighted median",-0.0207810564684552,0.00592755558240834,-0.0323988519263349,-0.00916326101057552,0.000455170187762681,"Steiger Filtered",88
"23","Weighted median",-0.022168498854936,0.00604558013956137,-0.0340176181941269,-0.0103193795157451,0.000245514934159958,"PheWAS T-test Filtered",72
"24","Weighted median",-0.0225427082135303,0.00682654864002299,-0.0359224976866862,-0.00916291874037435,0.000959256706921488,"PheWAS PVE Filtered",67
"25","Weighted median",-0.0345366876504893,0.00750261646381309,-0.0492415457093802,-0.0198318295915984,4.15876948557841e-06,"Core GI",52
"31","Penalized weighted median",-0.0142406001613582,0.00584143183438683,-0.0256895961749022,-0.00279160414781429,0.0147744447342483,"all",88
"32","Penalized weighted median",-0.0142406001613582,0.00584143183438683,-0.0256895961749022,-0.00279160414781429,0.0147744447342483,"Steiger Filtered",88
"33","Penalized weighted median",-0.012492509440291,0.00601847626784687,-0.0242885061670799,-0.000696512713502125,0.0379223479244907,"PheWAS T-test Filtered",72
"34","Penalized weighted median",-0.0212380264099272,0.00704952424455762,-0.0350548400374021,-0.00742121278245233,0.00258943862670546,"PheWAS PVE Filtered",67
"35","Penalized weighted median",-0.0273159098522458,0.00747219603571109,-0.0419611449676625,-0.0126706747368291,0.000256507545804784,"Core GI",52
"41","IVW",-0.0217382964740558,0.00694386348242367,-0.0353480188131691,-0.00812857413494254,0.00174463498410636,"all",88
"42","IVW",-0.0217382964740558,0.00694386348242367,-0.0353480188131691,-0.00812857413494254,0.00174463498410636,"Steiger Filtered",88
"43","IVW",-0.0252380482016883,0.00730371365651058,-0.0395530639218423,-0.0109230324815342,0.000549254874468521,"PheWAS T-test Filtered",72
"44","IVW",-0.0291463003457961,0.00857770859567289,-0.0459583002631947,-0.0123343004283976,0.000679022185320032,"PheWAS PVE Filtered",67
"45","IVW",-0.0325798872300986,0.00922183247118704,-0.0506543467450872,-0.01450542771511,0.000411015219434004,"Core GI",52
"51","Penalized IVW",-0.0133916352432069,0.00390638527286017,-0.0210480096877505,-0.00573526079866331,0.000607732177441321,"all",88
"52","Penalized IVW",-0.0133916352432069,0.00390638527286017,-0.0210480096877505,-0.00573526079866331,0.000607732177441321,"Steiger Filtered",88
"53","Penalized IVW",-0.0196835763451109,0.00457527061506272,-0.0286509419701582,-0.0107162107200635,1.69136071265317e-05,"PheWAS T-test Filtered",72
"54","Penalized IVW",-0.022360099605506,0.00488692750731709,-0.0319383015149056,-0.0127818976961064,4.75101244221515e-06,"PheWAS PVE Filtered",67
"55","Penalized IVW",-0.0290839978983676,0.00579758971501289,-0.0404470649369327,-0.0177209308598025,5.26029066683264e-07,"Core GI",52
"6","Robust IVW",-0.0207063097142656,0.0066202844909248,-0.0336818288838873,-0.00773079054464392,0.00176175751589987,"all",88
"61","Robust IVW",-0.0207063096800139,0.00662028447862432,-0.0336818288255271,-0.00773079053450069,0.00176175751207885,"Steiger Filtered",88
"62","Robust IVW",-0.0272892343507491,0.00742156701603085,-0.04183523841102,-0.0127432302904783,0.000235976539016103,"PheWAS T-test Filtered",72
"63","Robust IVW",-0.02979086104008,0.00752728962124602,-0.0445440775989243,-0.0150376444812357,7.56704198944866e-05,"PheWAS PVE Filtered",67
"64","Robust IVW",-0.0378050728653201,0.00841173843973161,-0.0542917772545652,-0.021318368476075,6.97914963495109e-06,"Core GI",52
"7","Penalized robust IVW",-0.0136558547112671,0.0045027017423931,-0.0224809879594833,-0.00483072146305084,0.00242285273070783,"all",88
"71","Penalized robust IVW",-0.0136558547112671,0.0045027017423931,-0.0224809879594833,-0.00483072146305084,0.00242285273070783,"Steiger Filtered",88
