"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"1","Simple median",0.133185771160773,0.168675646906761,-0.197412421845473,0.46378396416702,0.429763207972758,"all",74
"2","Simple median",0.133185771160773,0.168675646906761,-0.197412421845473,0.46378396416702,0.429763207972758,"Steiger Filtered",74
"3","Simple median",0.130837424420232,0.183750406368014,-0.229306754205674,0.490981603046138,0.476440731093005,"PheWAS T-test Filtered",62
"4","Simple median",0.130837424420232,0.183111780754027,-0.228055071002656,0.489729919843119,0.474904360684697,"PheWAS T-test Filtered - Sensitivity",64
"5","Simple median",0.113384469729181,0.192351257620978,-0.263617067588922,0.490386007047284,0.555548911260602,"PheWAS PVE Filtered",57
"6","Simple median",0.133185771160774,0.194329625083749,-0.247693295132547,0.514064837454094,0.493116715935804,"PheWAS PVE Filtered - Sensitivity",56
"7","Simple median",0.130837424420232,0.218290021470397,-0.29700315584622,0.558678004686684,0.548923324450257,"Core GI",46
"21","Weighted median",0.204078407030578,0.169329797751537,-0.127801898071885,0.535958712133041,0.228121236656353,"all",74
"22","Weighted median",0.204078407030578,0.169329797751537,-0.127801898071885,0.535958712133041,0.228121236656353,"Steiger Filtered",74
"23","Weighted median",0.144467952574132,0.183397622501435,-0.214984782378954,0.503920687527217,0.430854196281802,"PheWAS T-test Filtered",62
"24","Weighted median",0.233303881379354,0.184927373555124,-0.129147110544274,0.595754873302981,0.207093716141626,"PheWAS T-test Filtered - Sensitivity",64
"25","Weighted median",0.111085117575292,0.190064007233975,-0.261433491360659,0.483603726511243,0.558909779743885,"PheWAS PVE Filtered",57
"26","Weighted median",0.112998953322639,0.194098539883608,-0.267427194301044,0.493425100946321,0.560450074469736,"PheWAS PVE Filtered - Sensitivity",56
"27","Weighted median",0.140756533239527,0.218388246565881,-0.287276564676453,0.568789631155507,0.519235500883724,"Core GI",46
"31","Penalized weighted median",0.108789606659022,0.169241975941683,-0.222918570859072,0.440497784177116,0.520350568131911,"all",74
"32","Penalized weighted median",0.108789606659022,0.169241975941683,-0.222918570859072,0.440497784177116,0.520350568131911,"Steiger Filtered",74
"33","Penalized weighted median",0.127920049796331,0.183967106004915,-0.232648852313364,0.488488951906026,0.486841018341842,"PheWAS T-test Filtered",62
"34","Penalized weighted median",0.126425829842982,0.184111969027765,-0.234426998574192,0.487278658260156,0.492285009054898,"PheWAS T-test Filtered - Sensitivity",64
"35","Penalized weighted median",0.0428361248030526,0.19007966921182,-0.329713181045401,0.415385430651506,0.821700165642481,"PheWAS PVE Filtered",57
"36","Penalized weighted median",0.104114974922759,0.194210614113162,-0.276530834154446,0.484760783999963,0.591894191721709,"PheWAS PVE Filtered - Sensitivity",56
"37","Penalized weighted median",0.123198556468677,0.218683408605311,-0.30541304841419,0.551810161351543,0.573186433634976,"Core GI",46
"41","IVW",0.29739120089091,0.140827868647062,0.0213736503231314,0.573408751458688,0.034709147626669,"all",74
"42","IVW",0.29739120089091,0.140827868647062,0.0213736503231314,0.573408751458688,0.034709147626669,"Steiger Filtered",74
"43","IVW",0.136469658411611,0.145735211754903,-0.149166107907317,0.422105424730539,0.349055955340173,"PheWAS T-test Filtered",62
"44","IVW",0.264335066658962,0.14649159408059,-0.0227831817768548,0.551453315094778,0.0711625981462253,"PheWAS T-test Filtered - Sensitivity",64
"45","IVW",0.226967775557964,0.165986074474571,-0.0983589523473773,0.552294503463306,0.171502949419753,"PheWAS PVE Filtered",57
"46","IVW",0.243587211747556,0.168338772875005,-0.0863507202891232,0.573525143784234,0.147895247507394,"PheWAS PVE Filtered - Sensitivity",56
"47","IVW",0.178077580056436,0.17883625689092,-0.172435042579722,0.528590202692593,0.319367886839911,"Core GI",46
"51","Penalized IVW",0.0984065635360648,0.125022635687277,-0.14663329966327,0.343446426735399,0.431217491142069,"all",74
"52","Penalized IVW",0.0984065635360648,0.125022635687277,-0.14663329966327,0.343446426735399,0.431217491142069,"Steiger Filtered",74
"53","Penalized IVW",0.117348929362744,0.140466218265096,-0.157959799481386,0.392657658206875,0.403478703213227,"PheWAS T-test Filtered",62
"54","Penalized IVW",0.104930581183003,0.137562414552928,-0.164686796967105,0.374547959333111,0.44559147736649,"PheWAS T-test Filtered - Sensitivity",64
"55","Penalized IVW",0.115719046517898,0.147499505293377,-0.173374671594596,0.404812764630393,0.432724177019465,"PheWAS PVE Filtered",57
"56","Penalized IVW",0.134658352029112,0.149478238697671,-0.158313612290804,0.427630316349028,0.367664945757305,"PheWAS PVE Filtered - Sensitivity",56
"57","Penalized IVW",0.153165080299811,0.171301993174583,-0.182580656802297,0.48891081740192,0.371255996318913,"Core GI",46
"61","Robust IVW",0.130416359225727,0.167536563266224,-0.197949270869688,0.458781989321143,0.436312490298348,"all",74
"62","Robust IVW",0.130416359225727,0.167536563266224,-0.197949270869688,0.458781989321143,0.436312490298348,"Steiger Filtered",74
"63","Robust IVW",0.105294929014744,0.147195866489886,-0.183203667978598,0.393793526008086,0.474399658010141,"PheWAS T-test Filtered",62
"64","Robust IVW",0.124613762577846,0.176710312487473,-0.221732085594419,0.470959610750112,0.480694055399234,"PheWAS T-test Filtered - Sensitivity",64
"65","Robust IVW",0.111365682400037,0.169116571552229,-0.220096707031223,0.442828071831297,0.510207704964454,"PheWAS PVE Filtered",57
"66","Robust IVW",0.132696913457263,0.171982025952472,-0.204381663397816,0.469775490312341,0.440366593136166,"PheWAS PVE Filtered - Sensitivity",56
"67","Robust IVW",0.135739743507307,0.184163190415782,-0.225213476985617,0.496692964000231,0.461084468035681,"Core GI",46
"71","Penalized robust IVW",0.0774899247256644,0.129584928071398,-0.17649186723349,0.331471716684819,0.549849522124425,"all",74
"72","Penalized robust IVW",0.0774899247256644,0.129584928071398,-0.17649186723349,0.331471716684819,0.549849522124425,"Steiger Filtered",74
"73","Penalized robust IVW",0.0984758760991404,0.1432184993792,-0.182227224603964,0.379178976802245,0.491709828064771,"PheWAS T-test Filtered",62
"74","Penalized robust IVW",0.0823950694881458,0.141210264806715,-0.194371963780379,0.359162102756671,0.559562094946163,"PheWAS T-test Filtered - Sensitivity",64
"75","Penalized robust IVW",0.0897425083381202,0.153788659962039,-0.211677726418153,0.391162743094393,0.559526889736056,"PheWAS PVE Filtered",57
"76","Penalized robust IVW",0.110908697043865,0.155941105058388,-0.194730252579951,0.416547646667681,0.476946866708925,"PheWAS PVE Filtered - Sensitivity",56
"77","Penalized robust IVW",0.127345450761728,0.176691824132536,-0.218964160900728,0.473655062424184,0.471081389262419,"Core GI",46
"8","MR-Egger",1.31305560778521,0.586686789628943,0.163170629907051,2.46294058566336,0.0252154343814488,"all",74
"81","MR-Egger",1.31305560778521,0.586686789628943,0.163170629907051,2.46294058566336,0.0252154343814488,"Steiger Filtered",74
"82","MR-Egger",0.31166908044709,0.782914310865415,-1.22281477183012,1.8461529327243,0.690565048199503,"PheWAS T-test Filtered",62
"83","MR-Egger",1.509546236463,0.577262294556847,0.37813292949863,2.64095954342737,0.0089225040626808,"PheWAS T-test Filtered - Sensitivity",64
"84","MR-Egger",0.226977842594584,0.862451476760607,-1.46339599026959,1.91735167545876,0.792413755041284,"PheWAS PVE Filtered",57
"85","MR-Egger",0.214750160449503,0.866564807024325,-1.48368565158807,1.91318597248708,0.804275403093807,"PheWAS PVE Filtered - Sensitivity",56
"86","MR-Egger",0.370518163252472,0.909512346345512,-1.41209327907925,2.1531296055842,0.68372808743362,"Core GI",46
"9","(intercept)",-0.0159012132688324,0.0089244890630224,-0.0333928904127779,0.00159046387511308,0.0747899200032882,"all",74
"91","(intercept)",-0.0159012132688324,0.0089244890630224,-0.0333928904127779,0.00159046387511308,0.0747899200032882,"Steiger Filtered",74
"92","(intercept)",-0.00256970365468537,0.01127934718923,-0.0246768179146993,0.0195374106053286,0.819783229223056,"PheWAS T-test Filtered",62
"93","(intercept)",-0.01925334499686,0.00865092296804783,-0.0362088424472641,-0.00229784754645595,0.0260421421717647,"PheWAS T-test Filtered - Sensitivity",64
