"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"1","Simple median",-0.0591847768587315,0.0324761141095682,-0.122836790871298,0.00446723715383528,0.0683928836115118,"all",60
"2","Simple median",-0.0511033206937787,0.0341707343517081,-0.118076729348412,0.0158700879608547,0.134776463812248,"Steiger Filtered",57
"3","Simple median",0.0301970139467065,0.0339023241158516,-0.0362503203125664,0.0966443482059794,0.373086749796583,"PheWAS T-test Filtered",49
"4","Simple median",-0.250746970064332,0.0392322786356731,-0.327640823221692,-0.173853116906973,1.64434494860709e-10,"PheWAS PVE Filtered",40
"5","Simple median",-0.0618938585149956,0.047815696371737,-0.155610901299303,0.0318231842693114,0.195518474061234,"Core GI",28
"21","Weighted median",-0.0458944444212498,0.0326816601831005,-0.109949321335103,0.0181604324926038,0.160233277353999,"all",60
"22","Weighted median",-0.0357446334861132,0.0328804942306665,-0.100189217972097,0.0286999509998701,0.276989282108083,"Steiger Filtered",57
"23","Weighted median",0.0302665374884067,0.0331778215285461,-0.0347607977930413,0.0952938727698548,0.361636021330444,"PheWAS T-test Filtered",49
"24","Weighted median",-0.250586574228161,0.039486180702772,-0.327978066292634,-0.173195082163687,2.20721009333299e-10,"PheWAS PVE Filtered",40
"25","Weighted median",0.011247066574953,0.0491529698207104,-0.0850909840068235,0.10758511715673,0.819010655413374,"Core GI",28
"31","Penalized weighted median",-0.060023681817612,0.033233868042557,-0.12516086624798,0.00511350261275633,0.0709027549302398,"all",60
"32","Penalized weighted median",-0.04564689943011,0.0337136071340779,-0.111724355201835,0.0204305563416152,0.175748913205344,"Steiger Filtered",57
"33","Penalized weighted median",0.030315205857713,0.0335931433690948,-0.0355261452732034,0.0961565569886294,0.366832513800365,"PheWAS T-test Filtered",49
"34","Penalized weighted median",-0.266120634618656,0.0401126226616061,-0.344739930360849,-0.187501338876462,3.2596554883018e-11,"PheWAS PVE Filtered",40
"35","Penalized weighted median",0.0278457427315421,0.0518784978240091,-0.0738342445755552,0.129525730038639,0.591440859049865,"Core GI",28
"41","IVW",-0.0551809074066882,0.0738975764665585,-0.200017495825938,0.0896556810125611,0.45523170314548,"all",60
"42","IVW",-0.0406943103407445,0.0512736973062808,-0.141188910415263,0.0598002897337743,0.427388534777142,"Steiger Filtered",57
"43","IVW",0.00924837929667577,0.053135271056684,-0.0948948382831984,0.11339159687655,0.861823425865163,"PheWAS T-test Filtered",49
"44","IVW",-0.132545571270538,0.110015647787242,-0.348172278669377,0.0830811361283007,0.228285016783656,"PheWAS PVE Filtered",40
"45","IVW",-0.00774075369376819,0.0774959465969475,-0.159630017971625,0.144148510584088,0.920434896994821,"Core GI",28
"51","Penalized IVW",-0.0597822286372079,0.0233444669061418,-0.105536543011533,-0.0140279142628829,0.0104409340441251,"all",60
"52","Penalized IVW",-0.054132401575912,0.0240712637823305,-0.101311211651643,-0.00695359150018088,0.0245227284105661,"Steiger Filtered",57
"53","Penalized IVW",0.0113499870902733,0.0264425306374034,-0.0404764206191343,0.063176394799681,0.667754210913057,"PheWAS T-test Filtered",49
"54","Penalized IVW",-0.265487724802125,0.0261421607795861,-0.316725418408169,-0.21425003119608,3.13076455571366e-24,"PheWAS PVE Filtered",40
"55","Penalized IVW",-0.103295561437461,0.0381102900899808,-0.177990357454197,-0.028600765420725,0.00671945001372088,"Core GI",28
"6","Robust IVW",-0.0494661205511833,0.055015217177205,-0.157293964820154,0.0583617237177878,0.368580629034262,"all",60
"61","Robust IVW",-0.0404301605073165,0.053726105686699,-0.145731392682839,0.0648710716682061,0.451736264876279,"Steiger Filtered",57
"62","Robust IVW",0.0269374553215247,0.044606911115399,-0.0604904839262368,0.114365394569286,0.545919941135206,"PheWAS T-test Filtered",49
"63","Robust IVW",-0.158490688485466,0.0831425573279685,-0.321447106430841,0.0044657294599092,0.0566174838121286,"PheWAS PVE Filtered",40
"64","Robust IVW",-0.0175523929051126,0.0758590524600216,-0.166233403628089,0.131128617817864,0.81701831774913,"Core GI",28
"7","Penalized robust IVW",-0.144866150088334,0.335277344024411,-0.801997669208426,0.512265369031757,0.665684320852445,"all",60
"71","Penalized robust IVW",-0.0713011138953679,0.119700992094462,-0.305910747314226,0.16330851952349,0.551402268204441,"Steiger Filtered",57
"72","Penalized robust IVW",0.010182921850275,0.0334656036949725,-0.0554084561127616,0.0757742998133116,0.760914399756844,"PheWAS T-test Filtered",49
"73","Penalized robust IVW",-0.267406973172821,0.0396334990327188,-0.345087203858252,-0.189726742487389,1.50939698165713e-11,"PheWAS PVE Filtered",40
"74","Penalized robust IVW",-0.258248748124188,0.0722443905693579,-0.399845151725174,-0.116652344523201,0.000350690452969376,"Core GI",28
"8","MR-Egger",-0.501855681366654,0.32770535663031,-1.14414637790291,0.140435015169607,0.125664761960879,"all",60
"81","MR-Egger",-0.107015026116364,0.232023182938396,-0.561772108253968,0.347742056021241,0.644636774236673,"Steiger Filtered",57
"82","MR-Egger",-0.169121441458389,0.242650696283055,-0.644708066996744,0.306465184079966,0.485818510534408,"PheWAS T-test Filtered",49
"83","MR-Egger",-0.883065218663587,0.494087399463745,-1.85145872682758,0.0853282895004075,0.0738946344936278,"PheWAS PVE Filtered",40
"84","MR-Egger",-0.253049124340417,0.389102944772519,-1.01567688237303,0.509578633692197,0.515472765360503,"Core GI",28
"9","(intercept)",0.00691235871444278,0.00494277808808233,-0.00277530832177234,0.0166000257506579,0.161970042151781,"all",60
"91","(intercept)",0.00102741050357471,0.00350404085089665,-0.00584038336453982,0.00789520437168923,0.769363672615637,"Steiger Filtered",57
"92","(intercept)",0.00269514329291412,0.00357661473135668,-0.00431489276712038,0.00970517935294862,0.451121952396459,"PheWAS T-test Filtered",49
"93","(intercept)",0.0113916888320329,0.00731789575168753,-0.00295112328389331,0.0257345009479591,0.11954430869676,"PheWAS PVE Filtered",40
"94","(intercept)",0.00350904783488559,0.00545196908949494,-0.00717661522535013,0.0141947108951213,0.519815752217117,"Core GI",28
"10","Penalized MR-Egger",-0.610919168266434,0.114392354006713,-0.835124062226348,-0.38671427430652,9.2660179529247e-08,"all",60
"101","Penalized MR-Egger",-0.183386452038806,0.113563277074823,-0.405966385071803,0.0391934809941904,0.106345482502425,"Steiger Filtered",57
"102","Penalized MR-Egger",-0.185905932869978,0.118921810413042,-0.418988398255842,0.0471765325158854,0.117991010687724,"PheWAS T-test Filtered",49
"103","Penalized MR-Egger",-0.903147216794033,0.117680109709668,-1.1337959935217,-0.672498440066362,1.66533453693773e-14,"PheWAS PVE Filtered",40
"104","Penalized MR-Egger",-0.290176073008057,0.189418013810999,-0.661428558100725,0.0810764120846115,0.125538491135176,"Core GI",28
"11","(intercept)",0.00819716209792851,0.00169754172578402,0.00487004145313786,0.0115242827427192,1.3732878056949e-06,"all",60
"111","(intercept)",0.00212077577342655,0.00172723181671374,-0.00126453638028407,0.00550608792713717,0.219504545585895,"Steiger Filtered",57
"112","(intercept)",0.0028057962791205,0.00178970157791808,-0.00070195435667343,0.00631354691491443,0.116940579677072,"PheWAS T-test Filtered",49
"113","(intercept)",0.0109766792354369,0.00177029472196981,0.00750696533835472,0.0144463931325191,5.62907720436101e-10,"PheWAS PVE Filtered",40
