"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"1","Simple median",0.0809058654840552,0.0710939843220904,-0.0584357833046971,0.220247514272808,0.255115129765403,"all",78
"2","Simple median",0.0809058654840552,0.0710939843220904,-0.0584357833046971,0.220247514272808,0.255115129765403,"Steiger Filtered",78
"3","Simple median",-0.031747062545695,0.0786879030357691,-0.185972518514782,0.122478393423392,0.686613209114586,"PheWAS T-test Filtered",60
"4","Simple median",0.192009759369335,0.0955644697508516,0.00470684045599806,0.379312678282671,0.0445141232232291,"PheWAS PVE Filtered",49
"5","Simple median",0.0805290332030356,0.126107617566564,-0.166637355403581,0.327695421809652,0.523100164718345,"Core GI",31
"21","Weighted median",0.0807378002849162,0.0716216351237337,-0.0596380250714708,0.221113625641303,0.259623151106356,"all",78
"22","Weighted median",0.0807378002849162,0.0716216351237337,-0.0596380250714708,0.221113625641303,0.259623151106356,"Steiger Filtered",78
"23","Weighted median",0.00202825706120498,0.0791700916785399,-0.153142271281467,0.157198785403877,0.979561246523446,"PheWAS T-test Filtered",60
"24","Weighted median",0.148526238899163,0.094474945894724,-0.0366412524958664,0.333693730294192,0.115922019726329,"PheWAS PVE Filtered",49
"25","Weighted median",0.0806415340629084,0.12224715393682,-0.158958484865783,0.3202415529916,0.509472164612765,"Core GI",31
"31","Penalized weighted median",0.0842260713135782,0.0721092989179114,-0.0571055575159612,0.225557700143118,0.242793282966438,"all",78
"32","Penalized weighted median",0.0842260713135782,0.0721092989179114,-0.0571055575159612,0.225557700143118,0.242793282966438,"Steiger Filtered",78
"33","Penalized weighted median",0.00718181229725396,0.0796772851541368,-0.148982796990782,0.16334642158529,0.928178937098008,"PheWAS T-test Filtered",60
"34","Penalized weighted median",0.253876890243782,0.0941846688692503,0.0692783313642207,0.438475449123343,0.00702783398583071,"PheWAS PVE Filtered",49
"35","Penalized weighted median",0.0839445917440851,0.121265716616747,-0.15373184538418,0.32162102887235,0.488788631360721,"Core GI",31
"41","IVW",0.0262462630808151,0.0718947411265701,-0.114664840205093,0.167157366366723,0.715062788751259,"all",78
"42","IVW",0.0262462630808151,0.0718947411265701,-0.114664840205093,0.167157366366723,0.715062788751259,"Steiger Filtered",78
"43","IVW",-0.062017159319,0.0830225458897823,-0.224738359167797,0.100704040529797,0.455068522790325,"PheWAS T-test Filtered",60
"44","IVW",0.109006816529208,0.105565775943361,-0.0978983023198053,0.31591193537822,0.30179291858841,"PheWAS PVE Filtered",49
"45","IVW",-0.0184974357143925,0.149032353592843,-0.310595481287604,0.273600609858819,0.901222706805566,"Core GI",31
"51","Penalized IVW",0.0576978650432,0.056155462854782,-0.0523648196873496,0.16776054977375,0.304200783572087,"all",78
"52","Penalized IVW",0.0576978650432,0.056155462854782,-0.0523648196873496,0.16776054977375,0.304200783572087,"Steiger Filtered",78
"53","Penalized IVW",-0.075517278966997,0.0627209750364401,-0.198448131113655,0.0474135731796614,0.228582029599186,"PheWAS T-test Filtered",60
"54","Penalized IVW",0.250320928035097,0.0713406655649367,0.110495792894705,0.39014606317549,0.00045011426439419,"PheWAS PVE Filtered",49
"55","Penalized IVW",0.0709994737074602,0.103062691350691,-0.130999689489662,0.272998636904582,0.49088872970952,"Core GI",31
"6","Robust IVW",0.0351753212174833,0.0760128133312359,-0.113807055275305,0.184157697710272,0.643539878863479,"all",78
"61","Robust IVW",0.0351753212174833,0.0760128133312359,-0.113807055275305,0.184157697710272,0.643539878863479,"Steiger Filtered",78
"62","Robust IVW",-0.0696050717528133,0.0786460194495214,-0.223748437401312,0.0845382938956853,0.37613369542959,"PheWAS T-test Filtered",60
"63","Robust IVW",0.154823301539754,0.12611636828559,-0.0923602381609919,0.402006841240501,0.219588681046925,"PheWAS PVE Filtered",49
"64","Robust IVW",-0.0160451823537655,0.155928828882578,-0.321660071115127,0.289569706407596,0.918041798869701,"Core GI",31
"7","Penalized robust IVW",0.0606176630160198,0.0591665882330743,-0.0553467190089171,0.176582045040957,0.305587255450433,"all",78
"71","Penalized robust IVW",0.0606176630160198,0.0591665882330743,-0.0553467190089171,0.176582045040957,0.305587255450433,"Steiger Filtered",78
"72","Penalized robust IVW",-0.0688278095194811,0.0696890410037587,-0.205415820003983,0.0677602009650209,0.323328109795889,"PheWAS T-test Filtered",60
"73","Penalized robust IVW",0.256669824699815,0.0752772845649705,0.1091290580985,0.40421059130113,0.000650442968489867,"PheWAS PVE Filtered",49
"74","Penalized robust IVW",0.0632333054090985,0.109039773685965,-0.150480723897791,0.276947334715988,0.561975000976775,"Core GI",31
"8","MR-Egger",0.352272598438132,0.319919810104469,-0.274758707307521,0.979303904183786,0.270841036907111,"all",78
"81","MR-Egger",0.352272598438132,0.319919810104469,-0.274758707307521,0.979303904183786,0.270841036907111,"Steiger Filtered",78
"82","MR-Egger",0.333217488138282,0.369339932749402,-0.390675478102992,1.05711045437956,0.366952071689675,"PheWAS T-test Filtered",60
"83","MR-Egger",0.287863945525052,0.518187303901156,-0.727764507367125,1.30349239841723,0.578538328815213,"PheWAS PVE Filtered",49
"84","MR-Egger",0.221415145839877,0.803322308371651,-1.35306764654614,1.79589793822589,0.782836646603495,"Core GI",31
"9","(intercept)",-0.00531792497318435,0.0050850078968337,-0.0152843573120802,0.00464850736571146,0.295651227550358,"all",78
"91","(intercept)",-0.00531792497318435,0.0050850078968337,-0.0152843573120802,0.00464850736571146,0.295651227550358,"Steiger Filtered",78
"92","(intercept)",-0.00631639036628204,0.00575203179580364,-0.0175901655239864,0.00495738479142235,0.272154430211381,"PheWAS T-test Filtered",60
"93","(intercept)",-0.00287931812438983,0.00816377291696008,-0.0188800190195951,0.0131213827708154,0.724317453949971,"PheWAS PVE Filtered",49
"94","(intercept)",-0.00367760415006066,0.012093579287755,-0.02738058399824,0.0200253756981186,0.76105506517484,"Core GI",31
"10","Penalized MR-Egger",0.474208402338904,0.242464657132817,-0.00101359316527044,0.949430397843079,0.0504906504779099,"all",78
"101","Penalized MR-Egger",0.474208402338904,0.242464657132817,-0.00101359316527044,0.949430397843079,0.0504906504779099,"Steiger Filtered",78
"102","Penalized MR-Egger",0.471873841301663,0.260397463053858,-0.0384958079494976,0.982243490552823,0.0699662385156543,"PheWAS T-test Filtered",60
"103","Penalized MR-Egger",0.628663057311192,0.367547837542596,-0.0917174668678743,1.34904358149026,0.0871872875667372,"PheWAS PVE Filtered",49
"104","Penalized MR-Egger",0.389010706580328,0.549222425604757,-0.687445467106724,1.46546688026738,0.478762976058008,"Core GI",31
"11","(intercept)",-0.00696661942206247,0.00382105675577641,-0.0144557530462677,0.00052251420214274,0.0682703812539238,"all",78
"111","(intercept)",-0.00696661942206247,0.00382105675577641,-0.0144557530462677,0.00052251420214274,0.0682703812539238,"Steiger Filtered",78
"112","(intercept)",-0.00900669361012552,0.00408062135312343,-0.0170045644967925,-0.00100882272345851,0.0273010111755272,"PheWAS T-test Filtered",60
"113","(intercept)",-0.00650745393226356,0.00566191555397728,-0.0176046045015662,0.00458969663703905,0.250416690504959,"PheWAS PVE Filtered",49
"114","(intercept)",-0.00597209392606164,0.00822906020140752,-0.0221007555474323,0.010156567695309,0.46800296074328,"Core GI",31
"12","Robust MR-Egger",0.391405004624657,0.309367026971154,-0.214943226243037,0.997753235492351,0.205806776092179,"all",78
"121","Robust MR-Egger",0.391405004624642,0.30936702685602,-0.214943226017394,0.997753235266677,0.205806775923449,"Steiger Filtered",78
"122","Robust MR-Egger",0.374584158698785,0.312379178076964,-0.237667779852289,0.986836097249858,0.230476261929148,"PheWAS T-test Filtered",60
"123","Robust MR-Egger",0.344454357685972,0.638882821635914,-0.907732963061747,1.59664167843369,0.589782618405732,"PheWAS PVE Filtered",49
"124","Robust MR-Egger",0.237636293634661,0.909591156029227,-1.54512961283878,2.0204022001081,0.793894971141784,"Core GI",31
"13","(intercept)",-0.00587227105184988,0.00510743900306941,-0.0158826675511011,0.00413812544740132,0.250247414180998,"all",78
"131","(intercept)",-0.0058722710518495,0.00510743900116884,-0.0158826675473757,0.00413812544367665,0.250247414004761,"Steiger Filtered",78
"132","(intercept)",-0.00724955197260074,0.00519469153027587,-0.0174309602827367,0.00293185633753523,0.162844235534765,"PheWAS T-test Filtered",60
"133","(intercept)",-0.00308820009388321,0.0100388599669863,-0.0227640040750173,0.0165876038872509,0.758368013516426,"PheWAS PVE Filtered",49
"134","(intercept)",-0.00391587335835264,0.0139881497078262,-0.0313321429960465,0.0235003962793413,0.779521852591005,"Core GI",31
"14","Penalized robust MR-Egger",0.500530330777742,0.242025944694878,0.0261681958514983,0.974892465703985,0.0386319901800976,"all",78
"141","Penalized robust MR-Egger",0.500530330777761,0.242025948304402,0.0261681887769813,0.974892472778541,0.0386319930798542,"Steiger Filtered",78
"142","Penalized robust MR-Egger",0.483631979212456,0.253032551093604,-0.012302707847298,0.97956666627221,0.0559605247222601,"PheWAS T-test Filtered",60
"143","Penalized robust MR-Egger",0.627561896781251,0.415182454927801,-0.186180761890163,1.44130455545267,0.130652759435598,"PheWAS PVE Filtered",49
"144","Penalized robust MR-Egger",0.57152766015942,0.763932788680109,-0.925753092262842,2.06880841258168,0.454376519485282,"Core GI",31
"15","(intercept)",-0.00742941740457255,0.00423146652020164,-0.0157229393859548,0.000864104576809704,0.0791302953492563,"all",78
"151","(intercept)",-0.00742941740457294,0.00423146659194027,-0.0157229395265603,0.000864104717414433,0.0791303004340156,"Steiger Filtered",78
"152","(intercept)",-0.00910457121121308,0.00414166967911877,-0.0172220946181474,-0.00098704780427874,0.0279287875118099,"PheWAS T-test Filtered",60
"153","(intercept)",-0.00651632953097349,0.00746355162222969,-0.0211446219072992,0.0081119628453522,0.382615685730172,"PheWAS PVE Filtered",49
"154","(intercept)",-0.0087272021332549,0.0120455593906266,-0.0323360647125212,0.0148816604460114,0.468748925121565,"Core GI",31
