"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"1","Simple median",-0.101826025147675,0.0249713630815072,-0.150768997432302,-0.0528830528630479,4.54810675981189e-05,"all",75
"2","Simple median",-0.101826025147675,0.0249713630815072,-0.150768997432302,-0.0528830528630479,4.54810675981189e-05,"Steiger Filtered",75
"3","Simple median",-0.115969584834616,0.0252798997680994,-0.165517277912873,-0.0664218917563582,4.48751604573031e-06,"PheWAS T-test Filtered",59
"4","Simple median",-0.0847572198678185,0.0387461591568537,-0.160698296354509,-0.00881614338112838,0.02870604940536,"PheWAS PVE Filtered",47
"5","Simple median",-0.115969584834616,0.0395537528115547,-0.193493515798663,-0.0384456538705685,0.00336842089701671,"Core GI",31
"21","Weighted median",-0.115525202064622,0.0242369326361241,-0.163028717127149,-0.0680216870020958,1.8745899994121e-06,"all",75
"22","Weighted median",-0.115525202064622,0.0242369326361241,-0.163028717127149,-0.0680216870020958,1.8745899994121e-06,"Steiger Filtered",75
"23","Weighted median",-0.134601675432457,0.0245750184179105,-0.18276782645097,-0.0864355244139438,4.3216987017242e-08,"PheWAS T-test Filtered",59
"24","Weighted median",-0.127012931748644,0.03520442122582,-0.196012329447828,-0.0580135340494592,0.000308722567861966,"PheWAS PVE Filtered",47
"25","Weighted median",-0.183744751245499,0.0363106458003159,-0.254912309269508,-0.112577193221489,4.18477008931255e-07,"Core GI",31
"31","Penalized weighted median",-0.124149670101044,0.0243913722499807,-0.171955881244515,-0.0763434589575718,3.58250494540275e-07,"all",75
"32","Penalized weighted median",-0.124149670101044,0.0243913722499807,-0.171955881244515,-0.0763434589575718,3.58250494540275e-07,"Steiger Filtered",75
"33","Penalized weighted median",-0.14275044354019,0.0248535891211772,-0.191462583104253,-0.0940383039761259,9.26544244963988e-09,"PheWAS T-test Filtered",59
"34","Penalized weighted median",-0.156055120575106,0.0353848424815462,-0.22540813743756,-0.0867021037126527,1.03263219117314e-05,"PheWAS PVE Filtered",47
"35","Penalized weighted median",-0.207087629870068,0.0370513376103283,-0.279706917165346,-0.13446834257479,2.28107686711676e-08,"Core GI",31
"41","IVW",-0.0912681764178867,0.0506779367960704,-0.190595107348982,0.00805875451320842,0.0717115507322914,"all",75
"42","IVW",-0.0912681764178867,0.0506779367960704,-0.190595107348982,0.00805875451320842,0.0717115507322914,"Steiger Filtered",75
"43","IVW",-0.116288492424847,0.031623512076825,-0.178269437160091,-0.0543075476896025,0.000235734704992608,"PheWAS T-test Filtered",59
"44","IVW",-0.0836649941001799,0.0794700533513302,-0.239423436518264,0.0720934483179039,0.292438883720309,"PheWAS PVE Filtered",47
"45","IVW",-0.130106135966357,0.0522462981845712,-0.232506998733657,-0.027705273199057,0.0127654698229936,"Core GI",31
"51","Penalized IVW",-0.121695187495346,0.0165311346676336,-0.154095616067489,-0.0892947589232021,1.81752865555163e-13,"all",75
"52","Penalized IVW",-0.121695187495346,0.0165311346676336,-0.154095616067489,-0.0892947589232021,1.81752865555163e-13,"Steiger Filtered",75
