"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"1","Simple median",0.116777454016054,0.0956393954587045,-0.0706723165861908,0.304227224618298,0.222079083291496,"all",42
"2","Simple median",0.116777454016054,0.0956393954587045,-0.0706723165861908,0.304227224618298,0.222079083291496,"Steiger Filtered",42
"3","Simple median",0.134434376631754,0.104496922192782,-0.0703758273613842,0.339244580624891,0.198271668675727,"PheWAS T-test Filtered",35
"4","Simple median",-0.0146983286315005,0.114012852438755,-0.23815941318614,0.208762755923139,0.897422396715143,"PheWAS PVE Filtered",31
"5","Simple median",0.0683905502504064,0.119702440868675,-0.166221922713731,0.303003023214544,0.567770564148219,"Core GI",24
"21","Weighted median",0.017051618595644,0.0972920962496969,-0.173637386034166,0.207740623225454,0.86087367854758,"all",42
"22","Weighted median",0.017051618595644,0.0972920962496969,-0.173637386034166,0.207740623225454,0.86087367854758,"Steiger Filtered",42
"23","Weighted median",0.119855014972689,0.102325609465415,-0.0806994942756341,0.320409524221013,0.241474172301026,"PheWAS T-test Filtered",35
"24","Weighted median",-0.025942370143426,0.113624513186815,-0.248642323750479,0.196757583463627,0.819400068303493,"PheWAS PVE Filtered",31
"25","Weighted median",0.00504671869048988,0.121197960887536,-0.232496919648774,0.242590357029754,0.966785451333891,"Core GI",24
"31","Penalized weighted median",0.112263108790339,0.0977782287303279,-0.0793786979932228,0.303904915573902,0.250910717704209,"all",42
"32","Penalized weighted median",0.112263108790339,0.0977782287303279,-0.0793786979932228,0.303904915573902,0.250910717704209,"Steiger Filtered",42
"33","Penalized weighted median",0.122483169640026,0.103154557617099,-0.0796960481306491,0.324662387410701,0.235079634201756,"PheWAS T-test Filtered",35
"34","Penalized weighted median",-0.0161982911472271,0.113488866320851,-0.238632381782377,0.206235799487922,0.886503246936802,"PheWAS PVE Filtered",31
"35","Penalized weighted median",-0.0156993620204856,0.122560966423941,-0.255914442121833,0.224515718080862,0.898074341541532,"Core GI",24
"41","IVW",-0.0731461788525812,0.151611808782658,-0.370299863697565,0.224007505992402,0.629481335780658,"all",42
"42","IVW",-0.0731461788525812,0.151611808782658,-0.370299863697565,0.224007505992402,0.629481335780658,"Steiger Filtered",42
"43","IVW",0.152259049595585,0.097990029315661,-0.0397978787071349,0.344315977898304,0.120226914747025,"PheWAS T-test Filtered",35
"44","IVW",-0.202264915046148,0.191445891498652,-0.577491967371669,0.172962137279373,0.290734281860735,"PheWAS PVE Filtered",31
"45","IVW",0.0783853937719415,0.121421038112385,-0.159595467893798,0.316366255437681,0.518559929511199,"Core GI",24
"51","Penalized IVW",0.12966886337342,0.0827082895880969,-0.0324364054421592,0.291774132188999,0.116931182393744,"all",42
"52","Penalized IVW",0.12966886337342,0.0827082895880969,-0.0324364054421592,0.291774132188999,0.116931182393744,"Steiger Filtered",42
"53","Penalized IVW",0.143039441875409,0.090197339690312,-0.0337440954189278,0.319822979169745,0.112773363646835,"PheWAS T-test Filtered",35
"54","Penalized IVW",0.0289420669329319,0.106386863659663,-0.17957235426818,0.237456488134044,0.78558703845302,"PheWAS PVE Filtered",31
"55","Penalized IVW",0.0915638683181303,0.115190146611741,-0.13420467041477,0.317332407051031,0.426675609584151,"Core GI",24
"6","Robust IVW",0.073012940010567,0.103185751214928,-0.129227416088401,0.275253296109535,0.479201504116772,"all",42
"61","Robust IVW",0.073012940010567,0.103185751214928,-0.129227416088401,0.275253296109535,0.479201504116772,"Steiger Filtered",42
"62","Robust IVW",0.153312352106093,0.0971164503305778,-0.0370323928482129,0.343657097060398,0.114417616979553,"PheWAS T-test Filtered",35
"63","Robust IVW",-0.0221728875768837,0.123845688010057,-0.26490597571718,0.220560200563413,0.857909111234676,"PheWAS PVE Filtered",31
"64","Robust IVW",0.0819329568546531,0.116339566383965,-0.146088403234925,0.309954316944231,0.48127272435173,"Core GI",24
"7","Penalized robust IVW",0.131952435908179,0.0840149913247065,-0.0327139212496907,0.296618793066049,0.116279765947492,"all",42
"71","Penalized robust IVW",0.131952435908179,0.0840149913247065,-0.0327139212496907,0.296618793066049,0.116279765947492,"Steiger Filtered",42
"72","Penalized robust IVW",0.146364413146024,0.0904072748394569,-0.0308305894797256,0.323559415771774,0.105459079415452,"PheWAS T-test Filtered",35
"73","Penalized robust IVW",0.0360833598267999,0.106187766728794,-0.172040838560378,0.244207558213978,0.734001781158586,"PheWAS PVE Filtered",31
"74","Penalized robust IVW",0.0912553566085039,0.112710039035425,-0.129652260597033,0.312162973814041,0.418143027848466,"Core GI",24
"8","MR-Egger",-0.70651983769551,0.736426316240808,-2.149888894795,0.736849219403978,0.337362451679216,"all",42
"81","MR-Egger",-0.70651983769551,0.736426316240808,-2.149888894795,0.736849219403978,0.337362451679216,"Steiger Filtered",42
"82","MR-Egger",0.175629374692519,0.475146207203604,-0.75564007881735,1.10689882820239,0.711656497865323,"PheWAS T-test Filtered",35
"83","MR-Egger",-1.30843511535013,1.04404028851429,-3.35471647924695,0.737846248546691,0.210117657506498,"PheWAS PVE Filtered",31
"84","MR-Egger",0.225041417890337,0.702096870048001,-1.15104316106204,1.60112599684272,0.748568418698375,"Core GI",24
"9","(intercept)",0.0106490923822167,0.0121150126195561,-0.0130958960243614,0.0343940807887948,0.379401441893818,"all",42
"91","(intercept)",0.0106490923822167,0.0121150126195561,-0.0130958960243614,0.0343940807887948,0.379401441893818,"Steiger Filtered",42
"92","(intercept)",-0.000386159491041849,0.00767714555929066,-0.0154330882913231,0.0146607693092394,0.959883420365225,"PheWAS T-test Filtered",35
"93","(intercept)",0.0182388409598003,0.0169241120861854,-0.0149318091994422,0.0514094911190428,0.281174902706292,"PheWAS PVE Filtered",31
"94","(intercept)",-0.00234484883219787,0.0110491314329689,-0.0240007485012664,0.0193110508368707,0.831935251875095,"Core GI",24
"10","Penalized MR-Egger",-0.0278489765875736,0.424994964507028,-0.860823800632227,0.80512584745708,0.947753788522901,"all",42
"101","Penalized MR-Egger",-0.0278489765875736,0.424994964507028,-0.860823800632227,0.80512584745708,0.947753788522901,"Steiger Filtered",42
"102","Penalized MR-Egger",0.207879870408986,0.426901871448738,-0.628832422563289,1.04459216338126,0.626293757687112,"PheWAS T-test Filtered",35
"103","Penalized MR-Egger",-0.894826712563458,0.613707655620628,-2.0976716146164,0.308018189489482,0.144822151623826,"PheWAS PVE Filtered",31
"104","Penalized MR-Egger",0.260489088404235,0.657661310755764,-1.02850339470247,1.54948157151094,0.692043099662429,"Core GI",24
