"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",-0.0135953090727355,0.00541658550000339,-0.024211621571924,-0.00297899657354697,0.0120751395021084
"2","Weighted median",-0.0207810564684552,0.00592755558240834,-0.0323988519263349,-0.00916326101057552,0.000455170187762681
"3","Penalized weighted median",-0.0142406001613582,0.00584143183438683,-0.0256895961749022,-0.00279160414781429,0.0147744447342483
"4","IVW",-0.0217382964740558,0.00694386348242367,-0.0353480188131691,-0.00812857413494254,0.00174463498410636
"5","Penalized IVW",-0.0133916352432069,0.00390638527286017,-0.0210480096877505,-0.00573526079866331,0.000607732177441321
"6","Robust IVW",-0.0207063096800139,0.00662028447862432,-0.0336818288255271,-0.00773079053450069,0.00176175751207885
"7","Penalized robust IVW",-0.0136558547112671,0.0045027017423931,-0.0224809879594833,-0.00483072146305084,0.00242285273070783
"8","MR-Egger",-0.023635905121786,0.0243919881885951,-0.0714433234827587,0.0241715132391867,0.332543786639165
"9","(intercept)",3.18043197011694e-05,0.000391699744531137,-0.000735913072333399,0.000799521711735738,0.9352863500831
"10","Penalized MR-Egger",-0.0359474527952892,0.015305182542779,-0.0659450593559472,-0.00594984623463127,0.0188385149164718
"11","(intercept)",0.000270179546511075,0.000237526866197444,-0.000195364556596579,0.00073572364961873,0.255342101622002
"12","Robust MR-Egger",-0.0312181258055178,0.0264330703829037,-0.0830259917568213,0.0205897401457858,0.237592658926441
"13","(intercept)",0.00016744882209641,0.000373002332273797,-0.000563622315309674,0.000898519959502494,0.653488178310893
"14","Penalized robust MR-Egger",-0.0322238449538326,0.0126470510355619,-0.0570116094941739,-0.0074360804134914,0.0108363126842241
"15","(intercept)",0.000230649512048791,0.000187228802389467,-0.000136312197503131,0.000597611221600713,0.217981751505302
