"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",0.133185771160773,0.168675646906761,-0.197412421845473,0.46378396416702,0.429763207972758
"2","Weighted median",0.204078407030578,0.169329797751537,-0.127801898071885,0.535958712133041,0.228121236656353
"3","Penalized weighted median",0.108789606659022,0.169241975941683,-0.222918570859072,0.440497784177116,0.520350568131911
"4","IVW",0.29739120089091,0.140827868647062,0.0213736503231314,0.573408751458688,0.034709147626669
"5","Penalized IVW",0.0984065635360648,0.125022635687277,-0.14663329966327,0.343446426735399,0.431217491142069
"6","Robust IVW",0.130416359225727,0.167536563266224,-0.197949270869688,0.458781989321143,0.436312490298348
"7","Penalized robust IVW",0.0774899247256644,0.129584928071398,-0.17649186723349,0.331471716684819,0.549849522124425
"8","MR-Egger",1.31305560778521,0.586686789628943,0.163170629907051,2.46294058566336,0.0252154343814488
"9","(intercept)",-0.0159012132688324,0.0089244890630224,-0.0333928904127779,0.00159046387511308,0.0747899200032882
"10","Penalized MR-Egger",1.45203844787789,0.5135970789229,0.445406670624031,2.45867022513175,0.00469579080607474
"11","(intercept)",-0.0189492189338669,0.00780295345679431,-0.0342427266822261,-0.00365571118550777,0.0151627837006498
"12","Robust MR-Egger",1.21142086546608,1.24787426716838,-1.23436775541827,3.65720948635042,0.331654058477109
"13","(intercept)",-0.015651101725586,0.017629990071158,-0.0502052473128544,0.0189030438616824,0.374672862220438
"14","Penalized robust MR-Egger",1.31784845411584,1.11542640238132,-0.86834712195663,3.5040440301883,0.237414063006788
"15","(intercept)",-0.017453039573011,0.015841351665834,-0.0485015183044793,0.0135954391584572,0.270575029530659
