"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",-0.175933290156302,0.0445357088889993,-0.263221675604701,-0.0886449047079031,7.8024894678234e-05
"2","Weighted median",-0.178040099055003,0.0448317629895602,-0.265908739877977,-0.0901714582320291,7.14833794453613e-05
"3","Penalized weighted median",-0.177205985061189,0.0459115580245356,-0.2671909852634,-0.0872209848589783,0.000113514729969381
"4","IVW",-0.184580466962259,0.164730322338251,-0.507445965906905,0.138285031982386,0.262500388612495
"5","Penalized IVW",-0.198567611972416,0.0327492766578834,-0.262755014741606,-0.134380209203226,1.3338387138926e-09
"6","Robust IVW",-0.160349872289468,0.10735039303448,-0.370752776363268,0.0500530317843313,0.135252610881152
"7","Penalized robust IVW",0.0089626002198422,0.172819093875633,-0.329756599617244,0.347681800056929,0.958639315329364
"8","MR-Egger",-1.09519948218118,0.940830768023853,-2.93919390305509,0.748794938692732,0.244392798116455
"9","(intercept)",0.014756387999513,0.0150102077933878,-0.0146630786759894,0.0441758546750155,0.325563053073013
"10","Penalized MR-Egger",-1.23521779853693,0.203075681045428,-1.63323881952191,-0.837196777551947,1.18286669348322e-09
"11","(intercept)",0.0169314582245442,0.00314274292660979,0.010771795275721,0.0230911211733674,7.14532377710242e-08
"12","Robust MR-Egger",-0.0387672527540947,0.951919593570605,-1.90449537233049,1.8269608668223,0.967514856891893
"13","(intercept)",-0.00203862111621228,0.014872845458902,-0.0311888625632903,0.0271116203308658,0.890975455095176
"14","Penalized robust MR-Egger",0.386073565168562,NA,NA,NA,NA
"15","(intercept)",-0.00943935587101443,NA,NA,NA,NA
