"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",0.130837424420232,0.183750406368014,-0.229306754205674,0.490981603046138,0.476440731093005
"2","Weighted median",0.144467952574132,0.183397622501435,-0.214984782378954,0.503920687527217,0.430854196281802
"3","Penalized weighted median",0.127920049796331,0.183967106004915,-0.232648852313364,0.488488951906026,0.486841018341842
"4","IVW",0.136469658411611,0.145735211754903,-0.149166107907317,0.422105424730539,0.349055955340173
"5","Penalized IVW",0.117348929362744,0.140466218265096,-0.157959799481386,0.392657658206875,0.403478703213227
"6","Robust IVW",0.105294929014744,0.147195866489886,-0.183203667978598,0.393793526008086,0.474399658010141
"7","Penalized robust IVW",0.0984758760991404,0.1432184993792,-0.182227224603964,0.379178976802245,0.491709828064771
"8","MR-Egger",0.31166908044709,0.782914310865415,-1.22281477183012,1.8461529327243,0.690565048199503
"9","(intercept)",-0.00256970365468537,0.01127934718923,-0.0246768179146993,0.0195374106053286,0.819783229223056
"10","Penalized MR-Egger",0.615680736375332,0.751631173018709,-0.857489292398932,2.0888507651496,0.412714453236758
"11","(intercept)",-0.00725017746340256,0.0108422894420415,-0.0285006742797628,0.0140003193529577,0.5036904857907
"12","Robust MR-Egger",0.579316231195978,0.800893734965678,-0.990406644780519,2.14903910717247,0.469472743886878
"13","(intercept)",-0.00695972619655597,0.0114921307576678,-0.0294838885872099,0.0155644361940979,0.5447750960888
"14","Penalized robust MR-Egger",0.647481322207192,0.723447001073206,-0.770448744619801,2.06541138903419,0.370789854289062
"15","(intercept)",-0.0080267972353168,0.010295249748562,-0.0282051159543434,0.0121515214837098,0.435590868065149
