"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",-0.116442693637632,0.0469646873449152,-0.20849178937885,-0.0243935978964141,0.0131615823292232
"2","Weighted median",-0.140208287202136,0.0486886873999245,-0.235636360960517,-0.044780213443755,0.00398067374290816
"3","Penalized weighted median",-0.145132988695669,0.0504483990463292,-0.244010033904179,-0.046255943487159,0.00401653563982256
"4","IVW",-0.156157058352294,0.0869358823752132,-0.326548256771922,0.0142341400673345,0.0724575460891907
"5","Penalized IVW",-0.146720534980662,0.0373946304151244,-0.220012663809492,-0.0734284061518322,8.72455769446502e-05
"6","Robust IVW",-0.125260061728715,0.0952332649918287,-0.311913831242858,0.0613937077854287,0.188409986101135
"7","Penalized robust IVW",-0.143594056982706,0.0702720523185342,-0.281324748646748,-0.00586336531866483,0.0410126529987927
"8","MR-Egger",-0.11646165672248,0.512751726902201,-1.12143657446151,0.888513261016551,0.820322115594414
"9","(intercept)",-0.000632150427189225,0.00804243300248277,-0.0163950294601318,0.0151307286057533,0.937349284882359
"10","Penalized MR-Egger",-0.285629138408855,0.271280145909861,-0.817328454112953,0.246070177295243,0.292389744496801
"11","(intercept)",0.00160596458093052,0.00420365099547883,-0.00663303997378392,0.00984496913564497,0.702431385566735
"12","Robust MR-Egger",-0.205599938918196,0.916027372960289,-2.0009805987732,1.58978072093681,0.822409211247896
"13","(intercept)",0.00121760322125475,0.0139142463874957,-0.0260538185702533,0.0284890250127628,0.930267992465426
"14","Penalized robust MR-Egger",0.821132089136007,0.423276406185118,-0.00847442249237051,1.65073860076438,0.0523866209699853
"15","(intercept)",-0.0164272387672399,0.00704923104130184,-0.0302434777268933,-0.00261099980758656,0.0197871865806492
