"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",-0.0230175000212482,0.00640322000000153,-0.0355675806063378,-0.0104674194361586,0.000324795762012239
"2","Weighted median",-0.0225427082135303,0.00682654864002299,-0.0359224976866862,-0.00916291874037435,0.000959256706921488
"3","Penalized weighted median",-0.0212380264099272,0.00704952424455762,-0.0350548400374021,-0.00742121278245233,0.00258943862670546
"4","IVW",-0.0291463003457961,0.00857770859567289,-0.0459583002631947,-0.0123343004283976,0.000679022185320032
"5","Penalized IVW",-0.022360099605506,0.00488692750731709,-0.0319383015149056,-0.0127818976961064,4.75101244221515e-06
"6","Robust IVW",-0.02979086104008,0.00752728962124602,-0.0445440775989243,-0.0150376444812357,7.56704198944866e-05
"7","Penalized robust IVW",-0.0218620715531968,0.00571778701027495,-0.0330687281646066,-0.0106554149417869,0.00013156004895511
"8","MR-Egger",-0.0382416402944178,0.0316628903047052,-0.100299764938082,0.0238164843492468,0.22713390578187
"9","(intercept)",0.000150639284331188,0.000504518809508297,-0.000838199411828099,0.00113947798049048,0.765260439384358
"10","Penalized MR-Egger",-0.030774817203272,0.0179921357347471,-0.0660387552483325,0.0044891208417885,0.0871809599936098
"11","(intercept)",0.000117637393542092,0.000282700864873957,-0.000436446120009187,0.000671720907093372,0.677322429520883
"12","Robust MR-Egger",-0.0461013289248981,0.0249717898418271,-0.0950451376443824,0.00284247979458612,0.0648724101803904
"13","(intercept)",0.000266342496467138,0.000368814070207756,-0.00045651979813169,0.000989204791065967,0.470196566917758
"14","Penalized robust MR-Egger",-0.0296676356129517,0.0135284133949906,-0.0561828386351025,-0.0031524325908009,0.0283083109040478
"15","(intercept)",0.000107951843897335,0.000219049777394545,-0.00032137783061749,0.000537281518412159,0.622140640379706
