"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",0.192009759369335,0.0955644697508516,0.00470684045599806,0.379312678282671,0.0445141232232291
"2","Weighted median",0.148526238899163,0.094474945894724,-0.0366412524958664,0.333693730294192,0.115922019726329
"3","Penalized weighted median",0.253876890243782,0.0941846688692503,0.0692783313642207,0.438475449123343,0.00702783398583071
"4","IVW",0.109006816529208,0.105565775943361,-0.0978983023198053,0.31591193537822,0.30179291858841
"5","Penalized IVW",0.250320928035097,0.0713406655649367,0.110495792894705,0.39014606317549,0.00045011426439419
"6","Robust IVW",0.154823301539754,0.12611636828559,-0.0923602381609919,0.402006841240501,0.219588681046925
"7","Penalized robust IVW",0.256669824699815,0.0752772845649705,0.1091290580985,0.40421059130113,0.000650442968489867
"8","MR-Egger",0.287863945525052,0.518187303901156,-0.727764507367125,1.30349239841723,0.578538328815213
"9","(intercept)",-0.00287931812438983,0.00816377291696008,-0.0188800190195951,0.0131213827708154,0.724317453949971
"10","Penalized MR-Egger",0.628663057311192,0.367547837542596,-0.0917174668678743,1.34904358149026,0.0871872875667372
"11","(intercept)",-0.00650745393226356,0.00566191555397728,-0.0176046045015662,0.00458969663703905,0.250416690504959
"12","Robust MR-Egger",0.344454357685972,0.638882830521916,-0.907732980477991,1.59664169584993,0.589782623579591
"13","(intercept)",-0.00308820009388321,0.0100388600558045,-0.0227640042490977,0.0165876040613313,0.75836801558766
"14","Penalized robust MR-Egger",0.627561896781345,0.415182455255467,-0.186180762532282,1.44130455609497,0.130652759739227
"15","(intercept)",-0.00651632953097528,0.00746355164174064,-0.0211446219455417,0.00811196288359117,0.382615686973992
