"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",-0.0847572198678185,0.0387461591568537,-0.160698296354509,-0.00881614338112838,0.02870604940536
"2","Weighted median",-0.127012931748644,0.03520442122582,-0.196012329447828,-0.0580135340494592,0.000308722567861966
"3","Penalized weighted median",-0.156055120575106,0.0353848424815462,-0.22540813743756,-0.0867021037126527,1.03263219117314e-05
"4","IVW",-0.0836649941001799,0.0794700533513302,-0.239423436518264,0.0720934483179039,0.292438883720309
"5","Penalized IVW",-0.105448362112999,0.0239154844895168,-0.152321850385278,-0.0585748738407199,1.03749010890468e-05
"6","Robust IVW",-0.0990034368840495,0.0905512626965647,-0.276480650523942,0.0784737767558426,0.274243968211071
"7","Penalized robust IVW",-0.132832047517787,0.113196705943437,-0.354693514335495,0.0890294192999219,0.240610535271081
"8","MR-Egger",0.521334700414987,0.374286915662378,-0.212254174167855,1.25492357499783,0.16365774484911
"9","(intercept)",-0.00967767597440527,0.00585565235805639,-0.0211545437021828,0.00179919175337229,0.0983905670584164
"10","Penalized MR-Egger",0.470733431100067,0.154578005879601,0.167766106774028,0.773700755426106,0.00232463172941544
"11","(intercept)",-0.00889394258937137,0.00225802181556479,-0.0133195840241841,-0.00446830115455865,8.18831640538864e-05
"12","Robust MR-Egger",0.694759652525079,0.54966228431394,-0.382558628390259,1.77207793344042,0.206238826075605
"13","(intercept)",-0.0120086224145762,0.00767864549720761,-0.0270584910391538,0.00304124621000132,0.117841399520535
"14","Penalized robust MR-Egger",0.448677587340206,0.490267434636326,-0.512228927339838,1.40958410202025,0.36010288461052
"15","(intercept)",-0.00723209276362138,0.00667409983869015,-0.0203130880766787,0.0058489025494359,0.278539653422533
