"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",0.133185771160774,0.194329625083749,-0.247693295132547,0.514064837454094,0.493116715935804
"2","Weighted median",0.112998953322639,0.194098539883608,-0.267427194301044,0.493425100946321,0.560450074469736
"3","Penalized weighted median",0.104114974922759,0.194210614113162,-0.276530834154446,0.484760783999963,0.591894191721709
"4","IVW",0.243587211747556,0.168338772875005,-0.0863507202891232,0.573525143784234,0.147895247507394
"5","Penalized IVW",0.134658352029112,0.149478238697671,-0.158313612290804,0.427630316349028,0.367664945757305
"6","Robust IVW",0.132696913457263,0.171982025952472,-0.204381663397816,0.469775490312341,0.440366593136166
"7","Penalized robust IVW",0.110908697043865,0.155941105058388,-0.194730252579951,0.416547646667681,0.476946866708925
"8","MR-Egger",0.214750160449503,0.866564807024325,-1.48368565158807,1.91318597248708,0.804275403093807
"9","(intercept)",0.000439780411089053,0.0129591173281315,-0.0249596228234776,0.0258391836456557,0.972928197834825
"10","Penalized MR-Egger",0.213736849381385,0.765211643469814,-1.28605041237015,1.71352411113293,0.780001331747089
"11","(intercept)",-0.000907143396754128,0.0114154644847476,-0.0232810426536555,0.0214667558601473,0.936661828094394
"12","Robust MR-Egger",0.179660384093593,0.807273404882771,-1.40256641515366,1.76188718334084,0.823884127240369
"13","(intercept)",-0.000707316769248701,0.0122583442532213,-0.0247332300156561,0.0233185964771586,0.953986924015876
"14","Penalized robust MR-Egger",0.238424554327687,0.73929725308715,-1.21057143559252,1.68742054424789,0.747072718319303
"15","(intercept)",-0.00180906255992298,0.0111888050060126,-0.0237387174017491,0.0201205922819031,0.87155387355905
