"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",0.223255174940465,0.0407144070066958,0.143456403555436,0.303053946325494,4.171241204011e-08
"2","Weighted median",0.183826760983735,0.0398482182692942,0.105725688327827,0.261927833639642,3.96566214313793e-06
"3","Penalized weighted median",0.249288933338212,0.0397506083601357,0.171379172588789,0.327198694087634,3.57991430260848e-10
"4","IVW",0.115475362451789,0.0867281268508487,-0.0545086426224952,0.285459367526074,0.183036444451965
"5","Penalized IVW",0.267313907521672,0.024212345590959,0.219858582182156,0.314769232861189,2.43952921339567e-28
"6","Robust IVW",0.114984650940503,0.0845752274823298,-0.0507797489091455,0.280749050790152,0.173970870658828
"7","Penalized robust IVW",0.266508292981242,0.136906190165421,-0.00182290900357562,0.53483949496606,0.0515768343560623
"8","MR-Egger",0.345973057508848,0.418797815882834,-0.474855578425544,1.16680169344324,0.408741703889038
"9","(intercept)",-0.0034518981192086,0.00613390676399726,-0.0154741344611699,0.00857033822275266,0.57360045887068
"10","Penalized MR-Egger",0.538756552398889,0.199568610875856,0.147609262637523,0.929903842160255,0.00694217066944214
"11","(intercept)",-0.00518006346546252,0.00267946136919831,-0.0104317112470576,7.15843161325511e-05,0.0532056481779835
"12","Robust MR-Egger",0.532995719236992,0.705544786866854,-0.849846652502031,1.91583809097602,0.449985899845944
"13","(intercept)",-0.00590716466198053,0.00918365698235745,-0.0239068015937709,0.0120924722698099,0.520077626251489
"14","Penalized robust MR-Egger",0.461788810318088,0.452576993945701,-0.425245798046888,1.34882341868307,0.307560534342564
"15","(intercept)",-0.00291900831338885,0.00536114865464342,-0.0134266665922553,0.00758864996547762,0.586115045253651
