"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",-0.0686286376048975,0.0368590569860509,-0.140871061801667,0.00361378659187164,0.0626142824950766
"2","Weighted median",-0.114494161234148,0.0352071377266838,-0.183498883177189,-0.0454894392911061,0.00114589731084094
"3","Penalized weighted median",-0.126503574328049,0.0353886591114159,-0.19586407164759,-0.0571430770085091,0.000350639752462836
"4","IVW",-0.079832772582723,0.0808344105536594,-0.23826530597942,0.078599760813974,0.323344290720111
"5","Penalized IVW",-0.0874657544796097,0.0237690182605889,-0.134052174218239,-0.0408793347409806,0.000233396881659439
"6","Robust IVW",-0.0925669226914262,0.0923798812421168,-0.273628162822062,0.08849431743921,0.316331664050749
"7","Penalized robust IVW",-0.122606192863201,0.140863170299618,-0.398692933398585,0.153480547672182,0.384086153734614
"8","MR-Egger",0.514422159382519,0.380174716575646,-0.23070659293847,1.25955091170351,0.176017173828185
"9","(intercept)",-0.00953759026285792,0.00596686725889283,-0.0212324351908191,0.00215725466510325,0.109948407182983
"10","Penalized MR-Egger",0.45990384613114,0.155126007942181,0.155862457498992,0.763945234763288,0.00302966991498033
"11","(intercept)",-0.0086474715519837,0.00227425075541924,-0.0131049211244184,-0.00419002197954897,0.00014333661417365
"12","Robust MR-Egger",0.67346245170014,0.545711257996247,-0.39611195993055,1.74303686333083,0.21716551504562
"13","(intercept)",-0.0116607149587763,0.00765887155804375,-0.0266718273747602,0.00335039745720764,0.127881131708224
"14","Penalized robust MR-Egger",0.421380008731785,0.476808771855283,-0.513148011617345,1.35590802908091,0.376830892192312
"15","(intercept)",-0.00685980705456612,0.00730363684723732,-0.0211746722313109,0.00745505812217869,0.347611810662408
