"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",-0.0213208377633299,0.113805133114502,-0.244374799923541,0.201733124396881,0.851390038608003
"2","Weighted median",-0.0299885162045354,0.117854210685453,-0.260978524574419,0.201001492165348,0.799144569471468
"3","Penalized weighted median",-0.0197607671976842,0.117985360651926,-0.251007824778427,0.211486290383059,0.86698852198461
"4","IVW",-0.211146406542838,0.197199835592911,-0.597650982062163,0.175358168976487,0.284293982008126
"5","Penalized IVW",0.0224427714741281,0.110268537657268,-0.193679590962017,0.238565133910273,0.838722103819453
"6","Robust IVW",-0.0289592350008512,0.126697438119434,-0.277281650648433,0.219363180646731,0.819203134215128
"7","Penalized robust IVW",0.0286710750539602,0.110111831576064,-0.187144149106865,0.244486299214785,0.794569573564656
"8","MR-Egger",-1.45951121550538,1.09409787069453,-3.60390363762863,0.684881206617864,0.182208452751663
"9","(intercept)",0.0204347157886555,0.0176196602013082,-0.0140991836257423,0.0549686152030533,0.246143328721536
"10","Penalized MR-Egger",-1.1253370905488,0.648168768404112,-2.39572453252455,0.145050351426939,0.0825321656578843
"11","(intercept)",0.0155560901844959,0.0101742323026032,-0.00438503869895044,0.0354972190679422,0.126272022046099
"12","Robust MR-Egger",-0.24222229434319,0.713580377276823,-1.64081413388027,1.15636954519389,0.73427346469284
"13","(intercept)",0.00341398560204166,0.0106331704869668,-0.0174266455938875,0.0242546167979708,0.748157803637151
"14","Penalized robust MR-Egger",-1.0293716403833,1.02940557700745,-3.04696949680257,0.988226216035962,0.3173264623226
"15","(intercept)",0.0143438749134765,0.0149763354664989,-0.0150092032212512,0.0436969530482041,0.338179083585975
