"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",0.142272424008928,0.0260322349112716,0.0912501811457493,0.193294666872107,4.62279663879143e-08
"2","Weighted median",0.129915019620569,0.0266503835926246,0.0776812276048474,0.18214881163629,1.0892434291318e-06
"3","Penalized weighted median",0.144339589707027,0.0267966282321904,0.0918191634648242,0.196860015949229,7.18496130941204e-08
"4","IVW",-0.209783928318289,0.303634924198206,-0.804897444195321,0.385329587558743,0.489623089069683
"5","Penalized IVW",0.134284924188135,0.0201250432225019,0.0948405642847192,0.17372928409155,2.51433225397116e-11
"6","Robust IVW",0.140758717844873,0.0232151271411395,0.0952579047517211,0.186259530938025,1.33412428207053e-09
"7","Penalized robust IVW",0.142311008603939,0.0219682107425245,0.0992541067438049,0.185367910464073,9.2920022588996e-11
"8","MR-Egger",-2.15407517246614,1.73265525101414,-5.55001706207805,1.24186671714578,0.213786028079932
"9","(intercept)",0.0324028404136449,0.0284325558376655,-0.0233239450166036,0.0881296258438933,0.254436863526925
"10","Penalized MR-Egger",-1.43091829924657,0.345316583586087,-2.10772636633971,-0.754110232153422,3.41617368670999e-05
"11","(intercept)",0.0232633882205327,0.00506266962678231,0.0133407380864146,0.0331860383546509,4.32576604691981e-06
"12","Robust MR-Egger",-0.00137760152384504,0.139173246502787,-0.274152152280823,0.271396949233133,0.992102296487489
"13","(intercept)",0.00242953542909029,0.00247494473473145,-0.0024212671147104,0.00728033797289097,0.326271124999246
"14","Penalized robust MR-Egger",0.27874323368827,NA,NA,NA,NA
"15","(intercept)",-0.00212924117600523,NA,NA,NA,NA
