"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",0.130837424420232,0.183111780754027,-0.228055071002656,0.489729919843119,0.474904360684697
"2","Weighted median",0.233303881379354,0.184927373555124,-0.129147110544274,0.595754873302981,0.207093716141626
"3","Penalized weighted median",0.126425829842982,0.184111969027765,-0.234426998574192,0.487278658260156,0.492285009054898
"4","IVW",0.264335066658962,0.14649159408059,-0.0227831817768548,0.551453315094778,0.0711625981462253
"5","Penalized IVW",0.104930581183003,0.137562414552928,-0.164686796967105,0.374547959333111,0.44559147736649
"6","Robust IVW",0.124613762577846,0.176710312487473,-0.221732085594419,0.470959610750112,0.480694055399234
"7","Penalized robust IVW",0.0823950694881458,0.141210264806715,-0.194371963780379,0.359162102756671,0.559562094946163
"8","MR-Egger",1.509546236463,0.577262294556847,0.37813292949863,2.64095954342737,0.0089225040626808
"9","(intercept)",-0.01925334499686,0.00865092296804783,-0.0362088424472641,-0.00229784754645595,0.0260421421717647
"10","Penalized MR-Egger",1.82207097782418,0.528170720725883,0.786875387512884,2.85726656813547,0.000561050696891607
"11","(intercept)",-0.0239915894160556,0.00791906017178408,-0.039512662144158,-0.00847051668795328,0.00244877338479088
"12","Robust MR-Egger",1.71138093903848,0.863364298790442,0.0192180078715314,3.40354387020542,0.0474542398025368
"13","(intercept)",-0.022716444250996,0.0122129403497614,-0.0466533674818644,0.00122047897987236,0.0628811795768252
"14","Penalized robust MR-Egger",1.82763629449826,0.734215508167794,0.388600341598612,3.26667224739791,0.0128017651548242
"15","(intercept)",-0.0244393960604016,0.0104258683848488,-0.0448737226022601,-0.00400506951854315,0.0190724781350768
