"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",0.0838110829857371,0.0367234659620424,0.0118344123126515,0.155787753658823,0.0224762673174106
"2","Weighted median",0.00106037452261583,0.0388889664686411,-0.0751605991519065,0.0772813481971382,0.978247001349059
"3","Penalized weighted median",0.0697165481610213,0.0392216802787276,-0.00715653259842979,0.146589628920472,0.0754859627809711
"4","IVW",0.00123604295669738,0.0526605480917349,-0.101976734709242,0.104448820622637,0.981273855314123
"5","Penalized IVW",0.0952306196276789,0.0265689605271927,0.0431564138877149,0.147304825367643,0.000338008073216309
"6","Robust IVW",0.0209412619821666,0.075662529368158,-0.127354570558627,0.16923709452296,0.781955259445281
"7","Penalized robust IVW",0.108631642330947,0.0480308453898209,0.0144929152198861,0.202770369442008,0.023715585209037
"8","MR-Egger",-0.481851298356989,0.212919477267903,-0.899165805409174,-0.0645367913048041,0.0236314854204971
"9","(intercept)",0.00717239389924902,0.00307100743474442,0.00115332993089521,0.0131914578676028,0.0195163638312987
"10","Penalized MR-Egger",-0.548852981158289,0.0871654641650166,-0.719694151617438,-0.37801181069914,3.04089420311016e-10
"11","(intercept)",0.00800934521709005,0.00124852462595023,0.00556228191641627,0.0104564085177638,1.40778722013124e-10
"12","Robust MR-Egger",-0.495727647342547,0.152109308933208,-0.793856414564912,-0.197598880120182,0.00111796834565592
"13","(intercept)",0.00738351947045705,0.00209698543295911,0.00327350354575206,0.011493535395162,0.00042989651440406
"14","Penalized robust MR-Egger",-0.62000895486185,0.100896100940579,-0.817761678885903,-0.422256230837797,7.99514676685931e-10
"15","(intercept)",0.00955276754194193,0.00262521415497382,0.00440744234648849,0.0146980927373954,0.000273855405643397
