"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",-0.115969584834616,0.0252798997680994,-0.165517277912873,-0.0664218917563582,4.48751604573031e-06
"2","Weighted median",-0.134601675432457,0.0245750184179105,-0.18276782645097,-0.0864355244139438,4.3216987017242e-08
"3","Penalized weighted median",-0.14275044354019,0.0248535891211772,-0.191462583104253,-0.0940383039761259,9.26544244963988e-09
"4","IVW",-0.116288492424847,0.031623512076825,-0.178269437160091,-0.0543075476896025,0.000235734704992608
"5","Penalized IVW",-0.138206708857061,0.0187626034696068,-0.174980735913697,-0.101432681800426,1.75727477626895e-13
"6","Robust IVW",-0.11495212385391,0.0318502915733008,-0.177377548234679,-0.0525266994731407,0.000307215181299219
"7","Penalized robust IVW",-0.138649781377744,0.0209858155613445,-0.179781224064179,-0.0975183386913085,3.92628185982759e-11
"8","MR-Egger",0.0852416781949757,0.1387914758228,-0.186784615778874,0.357267972168826,0.539102436090597
"9","(intercept)",-0.00321021341341152,0.00215389883901872,-0.00743177756423085,0.00101135073740781,0.136113897299411
"10","Penalized MR-Egger",-0.0158129798040528,0.0863639373374148,-0.18508318654846,0.153457226940354,0.854721891746296
"11","(intercept)",-0.00195930203826701,0.00133813054384066,-0.00458198971080769,0.000663385634273668,0.143137004421566
"12","Robust MR-Egger",0.0392898386941301,0.149080320036181,-0.25290221938049,0.33148189676875,0.792128136403484
"13","(intercept)",-0.00247351710770154,0.00227021113534947,-0.00692304917028828,0.0019760149548852,0.275909755609186
"14","Penalized robust MR-Egger",-0.0263061916830855,0.0855552817012155,-0.193991462504647,0.141379079138476,0.75848112464149
"15","(intercept)",-0.00178276135368626,0.00128946859641556,-0.00431007336185617,0.000744550654483647,0.16680133177419
