"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"1","Simple median",0.133185771160773,0.168675646906761,-0.197412421845473,0.46378396416702,0.429763207972758,"all",74
"2","Simple median",0.133185771160773,0.168675646906761,-0.197412421845473,0.46378396416702,0.429763207972758,"filtered",74
"21","Weighted median",0.204078407030578,0.169329797751537,-0.127801898071885,0.535958712133041,0.228121236656353,"all",74
"22","Weighted median",0.204078407030578,0.169329797751537,-0.127801898071885,0.535958712133041,0.228121236656353,"filtered",74
"3","Penalized weighted median",0.108789606659022,0.169241975941683,-0.222918570859072,0.440497784177116,0.520350568131911,"all",74
"31","Penalized weighted median",0.108789606659022,0.169241975941683,-0.222918570859072,0.440497784177116,0.520350568131911,"filtered",74
"4","IVW",0.29739120089091,0.140827868647062,0.0213736503231314,0.573408751458688,0.034709147626669,"all",74
"41","IVW",0.29739120089091,0.140827868647062,0.0213736503231314,0.573408751458688,0.034709147626669,"filtered",74
"5","Penalized IVW",0.0984065635360648,0.125022635687277,-0.14663329966327,0.343446426735399,0.431217491142069,"all",74
"51","Penalized IVW",0.0984065635360648,0.125022635687277,-0.14663329966327,0.343446426735399,0.431217491142069,"filtered",74
"6","Robust IVW",0.130416359225727,0.167536563266224,-0.197949270869688,0.458781989321143,0.436312490298348,"all",74
"61","Robust IVW",0.130416359225727,0.167536563266224,-0.197949270869688,0.458781989321143,0.436312490298348,"filtered",74
"7","Penalized robust IVW",0.0774899247256644,0.129584928071398,-0.17649186723349,0.331471716684819,0.549849522124425,"all",74
"71","Penalized robust IVW",0.0774899247256644,0.129584928071398,-0.17649186723349,0.331471716684819,0.549849522124425,"filtered",74
"8","MR-Egger",1.31305560778521,0.586686789628943,0.163170629907051,2.46294058566336,0.0252154343814488,"all",74
"81","MR-Egger",1.31305560778521,0.586686789628943,0.163170629907051,2.46294058566336,0.0252154343814488,"filtered",74
"9","(intercept)",-0.0159012132688324,0.0089244890630224,-0.0333928904127779,0.00159046387511308,0.0747899200032882,"all",74
"91","(intercept)",-0.0159012132688324,0.0089244890630224,-0.0333928904127779,0.00159046387511308,0.0747899200032882,"filtered",74
"10","Penalized MR-Egger",1.45203844787789,0.5135970789229,0.445406670624031,2.45867022513175,0.00469579080607474,"all",74
"101","Penalized MR-Egger",1.45203844787789,0.5135970789229,0.445406670624031,2.45867022513175,0.00469579080607474,"filtered",74
"11","(intercept)",-0.0189492189338669,0.00780295345679431,-0.0342427266822261,-0.00365571118550777,0.0151627837006498,"all",74
"111","(intercept)",-0.0189492189338669,0.00780295345679431,-0.0342427266822261,-0.00365571118550777,0.0151627837006498,"filtered",74
"12","Robust MR-Egger",1.21142086407732,1.24787427431162,-1.2343677708075,3.65720949896215,0.331654061799263,"all",74
"121","Robust MR-Egger",1.21142086700666,1.24787425911473,-1.23436773809281,3.65720947210613,0.331654054741584,"filtered",74
"13","(intercept)",-0.0156511017131611,0.0176299901691438,-0.0502052474924781,0.0189030440661559,0.374672865254275,"all",74
"131","(intercept)",-0.0156511017393693,0.0176299899607952,-0.0502052471103305,0.0189030436315919,0.374672858809824,"filtered",74
"14","Penalized robust MR-Egger",1.31784845447798,1.11542639878796,-0.868347114551647,3.5040440235076,0.237414061366721,"all",74
"141","Penalized robust MR-Egger",1.31784845585916,1.11542639620151,-0.868347108101102,3.50404401981943,0.237414059787372,"filtered",74
"15","(intercept)",-0.0174530395774745,0.0158413516251322,-0.0485015182291687,0.0135954390742197,0.270575028177122,"all",74
"151","(intercept)",-0.0174530395944981,0.0158413515831618,-0.0485015181639317,0.0135954389749356,0.270575026440421,"filtered",74
