"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"1","Simple median",-0.101826025147675,0.0249713630815072,-0.150768997432302,-0.0528830528630479,4.54810675981189e-05,"all",75
"2","Simple median",-0.101826025147675,0.0249713630815072,-0.150768997432302,-0.0528830528630479,4.54810675981189e-05,"filtered",75
"21","Weighted median",-0.115525202064622,0.0242369326361241,-0.163028717127149,-0.0680216870020958,1.8745899994121e-06,"all",75
"22","Weighted median",-0.115525202064622,0.0242369326361241,-0.163028717127149,-0.0680216870020958,1.8745899994121e-06,"filtered",75
"3","Penalized weighted median",-0.124149670101044,0.0243913722499807,-0.171955881244515,-0.0763434589575718,3.58250494540275e-07,"all",75
"31","Penalized weighted median",-0.124149670101044,0.0243913722499807,-0.171955881244515,-0.0763434589575718,3.58250494540275e-07,"filtered",75
"4","IVW",-0.0912681764178867,0.0506779367960704,-0.190595107348982,0.00805875451320842,0.0717115507322914,"all",75
"41","IVW",-0.0912681764178867,0.0506779367960704,-0.190595107348982,0.00805875451320842,0.0717115507322914,"filtered",75
"5","Penalized IVW",-0.121695187495346,0.0165311346676336,-0.154095616067489,-0.0892947589232021,1.81752865555163e-13,"all",75
"51","Penalized IVW",-0.121695187495346,0.0165311346676336,-0.154095616067489,-0.0892947589232021,1.81752865555163e-13,"filtered",75
"6","Robust IVW",-0.0992187567213275,0.0425325353854881,-0.18258099424806,-0.0158565191945954,0.0196600543814509,"all",75
"61","Robust IVW",-0.0992187567213275,0.0425325353854881,-0.18258099424806,-0.0158565191945954,0.0196600543814509,"filtered",75
"7","Penalized robust IVW",-0.123784297651458,0.020643360685035,-0.164244541113996,-0.0833240541889189,2.01833018589363e-09,"all",75
"71","Penalized robust IVW",-0.123784297651458,0.020643360685035,-0.164244541113996,-0.0833240541889189,2.01833018589363e-09,"filtered",75
"8","MR-Egger",0.261670347246146,0.219339355116599,-0.168226889174629,0.691567583666922,0.232872057450966,"all",75
"81","MR-Egger",0.261670347246146,0.219339355116599,-0.168226889174629,0.691567583666922,0.232872057450966,"filtered",75
"9","(intercept)",-0.0057406151183441,0.00347330450948556,-0.0125481668642764,0.00106693662758816,0.098375241957984,"all",75
"91","(intercept)",-0.0057406151183441,0.00347330450948556,-0.0125481668642764,0.00106693662758816,0.098375241957984,"filtered",75
"10","Penalized MR-Egger",0.237785331413845,0.0903946520591758,0.060615068982831,0.414955593844859,0.00852532674206907,"all",75
"101","Penalized MR-Egger",0.237785331413845,0.0903946520591758,0.060615068982831,0.414955593844859,0.00852532674206907,"filtered",75
"11","(intercept)",-0.00542898853582894,0.00136557775075942,-0.00810547174540662,-0.00275250532625126,7.02025487144819e-05,"all",75
"111","(intercept)",-0.00542898853582894,0.00136557775075942,-0.00810547174540662,-0.00275250532625126,7.02025487144819e-05,"filtered",75
"12","Robust MR-Egger",0.232173026061263,0.235252664054835,-0.228913722753314,0.69325977487584,0.323687137889262,"all",75
"121","Robust MR-Egger",0.232173026061263,0.235252664054835,-0.228913722753314,0.69325977487584,0.323687137889262,"filtered",75
"13","(intercept)",-0.00522444320588065,0.00342293103710735,-0.0119332647601754,0.00148437834841409,0.126933455014498,"all",75
"131","(intercept)",-0.00522444320588065,0.00342293103710735,-0.0119332647601754,0.00148437834841409,0.126933455014498,"filtered",75
"14","Penalized robust MR-Egger",0.175610980256181,0.241486190100288,-0.297693255104175,0.648915215616538,0.467097808310333,"all",75
"141","Penalized robust MR-Egger",0.175610978678,0.241486194289772,-0.297693264893594,0.648915222249594,0.467097820040582,"filtered",75
"15","(intercept)",-0.00438783771073143,0.00336587106608992,-0.0109848237768731,0.00220914835541025,0.192361062786983,"all",75
"151","(intercept)",-0.00438783768558884,0.00336587112233413,-0.0109848238619671,0.00220914849078947,0.192361072766079,"filtered",75
