"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",0.119154893914909,0.0353667648969043,0.0498373084672808,0.188472479362536,0.000754084440746349
"2","Weighted median",0.0729291517758611,0.0356461158698714,0.00306404848217157,0.142794255069551,0.0407641031381074
"3","Penalized weighted median",0.100243038463725,0.0352711825789559,0.0311127909168352,0.169373286010615,0.00448221729078824
"4","IVW",0.0726342625380431,0.0529084228991065,-0.0310643408230199,0.176332865899106,0.169805247149117
"5","Penalized IVW",0.132448733668739,0.0238017147868714,0.0857982299161769,0.179099237421302,2.62646094003963e-08
"6","Robust IVW",0.0737446978236457,0.0719685743295294,-0.0673111158809257,0.214800511528217,0.305514602503717
"7","Penalized robust IVW",0.147973430986214,0.0432692928564045,0.0631671753511455,0.232779686621283,0.000626613175118193
"8","MR-Egger",-0.0166532262751932,0.210785575742264,-0.42978536319057,0.396478910640183,0.937028223955303
"9","(intercept)",0.00138010481510723,0.00315237783056958,-0.00479844219847165,0.00755865182868611,0.661532696613885
"10","Penalized MR-Egger",0.0748954400434485,0.157656573511595,-0.234105765965269,0.383896646052166,0.634748239581307
"11","(intercept)",0.00033151053028797,0.00213278455898153,-0.00384867039209898,0.00451169145267492,0.876477963823473
"12","Robust MR-Egger",-0.298829538221279,NA,NA,NA,NA
"13","(intercept)",0.00515293209808455,NA,NA,NA,NA
"14","Penalized robust MR-Egger",0.430915698619491,0.262158469096524,-0.0829054590518526,0.944736856290834,0.100233595733578
"15","(intercept)",-0.00379073315563745,0.00351799839279047,-0.0106858833031766,0.00310441699190165,0.281245542288599
