"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",-0.0511033206937787,0.0341707343517081,-0.118076729348412,0.0158700879608547,0.134776463812248
"2","Weighted median",-0.0357446334861132,0.0328804942306665,-0.100189217972097,0.0286999509998701,0.276989282108083
"3","Penalized weighted median",-0.04564689943011,0.0337136071340779,-0.111724355201835,0.0204305563416152,0.175748913205344
"4","IVW",-0.0406943103407445,0.0512736973062808,-0.141188910415263,0.0598002897337743,0.427388534777142
"5","Penalized IVW",-0.054132401575912,0.0240712637823305,-0.101311211651643,-0.00695359150018088,0.0245227284105661
"6","Robust IVW",-0.0404301605073165,0.053726105686699,-0.145731392682839,0.0648710716682061,0.451736264876279
"7","Penalized robust IVW",-0.0713011138953679,0.119700992094462,-0.305910747314226,0.16330851952349,0.551402268204441
"8","MR-Egger",-0.107015026116364,0.232023182938396,-0.561772108253968,0.347742056021241,0.644636774236673
"9","(intercept)",0.00102741050357471,0.00350404085089665,-0.00584038336453982,0.00789520437168923,0.769363672615637
"10","Penalized MR-Egger",-0.183386452038806,0.113563277074823,-0.405966385071803,0.0391934809941904,0.106345482502425
"11","(intercept)",0.00212077577342655,0.00172723181671374,-0.00126453638028407,0.00550608792713717,0.219504545585895
"12","Robust MR-Egger",-0.160668622204156,0.27235733356832,-0.694479186923424,0.373141942515113,0.555245308981732
"13","(intercept)",0.00187108679055409,0.0041680081509745,-0.00629805907262531,0.0100402326537335,0.653492038327592
"14","Penalized robust MR-Egger",-0.614063470809465,0.310296861012131,-1.22223414290907,-0.00589279870985748,0.0478210925052729
"15","(intercept)",0.00788521072272488,0.00427395448530764,-0.00049158614004151,0.0162620075854913,0.0650455477253296
