"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",-0.0775971157748967,0.0477389210688199,-0.171163681730584,0.0159694501807907,0.10406721555965
"2","Weighted median",-0.0725644915909016,0.0461932757014547,-0.163101648293682,0.0179726651118789,0.116208520029237
"3","Penalized weighted median",-0.0562392141224828,0.0453129837571903,-0.145051030318624,0.0325726020736586,0.214558457454332
"4","IVW",-0.105228974037387,0.0686102281764514,-0.239702550234307,0.0292446021595334,0.12509821097431
"5","Penalized IVW",-0.105846275320578,0.0340049278787171,-0.172494709259746,-0.0391978413814108,0.00185400310215208
"6","Robust IVW",-0.0921113092771912,0.0794745895322903,-0.247878642446584,0.0636560238922018,0.246454851493335
"7","Penalized robust IVW",-0.10782403424343,0.0525116870134464,-0.210745049557224,-0.0049030189296351,0.0400401920115931
"8","MR-Egger",-0.371906043202584,0.422592225275851,-1.20017158488989,0.456359498484721,0.378827409939519
"9","(intercept)",0.0043233010316852,0.00675808905216958,-0.0089223101148816,0.017568912178252,0.522353081920655
"10","Penalized MR-Egger",-0.735381356144208,0.243482894233347,-1.21259905969314,-0.258163652595273,0.00252558771938993
"11","(intercept)",0.00979872771425023,0.0037553449565563,0.00243838684987576,0.0171590685786247,0.009073429279159
"12","Robust MR-Egger",-0.298093871914063,0.821177397897967,-1.9075719967124,1.31138425288427,0.7165989927997
"13","(intercept)",0.00324395780244863,0.0124224154865751,-0.0211035291522313,0.0275914447571285,0.793986518656929
"14","Penalized robust MR-Egger",-0.800521058879444,0.300228135728254,-1.38895739205242,-0.212084725706463,0.00766739136193872
"15","(intercept)",0.0106692899386483,0.00432737093016452,0.00218779876778025,0.0191507811095163,0.0136808327501827
