"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",0.13102753160285,0.0224687699705184,0.0869895516837192,0.175065511521981,5.49181315210576e-09
"2","Weighted median",0.124582089256287,0.0227497514682031,0.0799933957213722,0.169170782791203,4.34567279211697e-08
"3","Penalized weighted median",0.137202733448165,0.0229140903594304,0.0922919416051847,0.182113525291145,2.12827180951327e-09
"4","IVW",0.10034232422659,0.0265003032894119,0.0484026841999543,0.152281964253225,0.000152809009454018
"5","Penalized IVW",0.119957280003442,0.0176351439406695,0.0853930330175505,0.154521526989334,1.03053547634693e-11
"6","Robust IVW",0.125236431411848,0.0195991875866828,0.086822729615705,0.163650133207991,1.66017389527902e-10
"7","Penalized robust IVW",0.125325878267633,0.0190858673116677,0.0879182657230543,0.162733490812212,5.15382751518416e-11
"8","MR-Egger",0.0833365425842978,0.135630309715796,-0.182493979670676,0.349167064839271,0.538925316078552
"9","(intercept)",0.000287567869096174,0.0022483904448329,-0.00411919642596031,0.00469433216415265,0.898228557636364
"10","Penalized MR-Egger",0.112362009794533,0.0905070275388874,-0.0650285045294607,0.289752524118528,0.214431152881657
"11","(intercept)",8.47003399533736e-05,0.00150894351349799,-0.00287277460120801,0.00304217528111475,0.955236481462148
"12","Robust MR-Egger",0.0855632710940384,0.0913466022356548,-0.093472779397951,0.264599321586028,0.348919042866195
"13","(intercept)",0.000697972096700702,0.00174003345502939,-0.0027124308070517,0.0041083750004531,0.688327597536345
"14","Penalized robust MR-Egger",0.0965051835595166,0.0934943575982744,-0.0867403900908099,0.279750757209843,0.301976893893228
"15","(intercept)",0.000508054151917685,0.00183144213712524,-0.00308150647661685,0.00409761478045222,0.781467907832826
