"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"1","Simple median",-0.0591847768587315,0.0324761141095682,-0.122836790871298,0.00446723715383528,0.0683928836115118,"all",60
"2","Simple median",-0.0511033206937787,0.0341707343517081,-0.118076729348412,0.0158700879608547,0.134776463812248,"Steiger Filtered",57
"3","Simple median",0.0301970139467065,0.0339023241158516,-0.0362503203125664,0.0966443482059794,0.373086749796583,"PheWAS T-test Filtered",49
"4","Simple median",0.0301970139467065,0.0339023241158516,-0.0362503203125664,0.0966443482059794,0.373086749796583,"PheWAS T-test Filtered - Sensitivity",49
"5","Simple median",-0.250746970064332,0.0392322786356731,-0.327640823221692,-0.173853116906973,1.64434494860709e-10,"PheWAS PVE Filtered",40
"6","Simple median",-0.247778596058944,0.0426397639235824,-0.331350997658456,-0.164206194459432,6.21100924084753e-09,"PheWAS PVE Filtered - Sensitivity",39
"7","Simple median",-0.0618938585149956,0.047815696371737,-0.155610901299303,0.0318231842693114,0.195518474061234,"Core GI",28
"21","Weighted median",-0.0458944444212498,0.0326816601831005,-0.109949321335103,0.0181604324926038,0.160233277353999,"all",60
"22","Weighted median",-0.0357446334861132,0.0328804942306665,-0.100189217972097,0.0286999509998701,0.276989282108083,"Steiger Filtered",57
"23","Weighted median",0.0302665374884067,0.0331778215285461,-0.0347607977930413,0.0952938727698548,0.361636021330444,"PheWAS T-test Filtered",49
"24","Weighted median",0.0302665374884067,0.0331778215285461,-0.0347607977930413,0.0952938727698548,0.361636021330444,"PheWAS T-test Filtered - Sensitivity",49
"25","Weighted median",-0.250586574228161,0.039486180702772,-0.327978066292634,-0.173195082163687,2.20721009333299e-10,"PheWAS PVE Filtered",40
"26","Weighted median",-0.248655974587685,0.0408344808186799,-0.328690086319689,-0.168621862855681,1.13360858763009e-09,"PheWAS PVE Filtered - Sensitivity",39
"27","Weighted median",0.011247066574953,0.0491529698207104,-0.0850909840068235,0.10758511715673,0.819010655413374,"Core GI",28
"31","Penalized weighted median",-0.060023681817612,0.033233868042557,-0.12516086624798,0.00511350261275633,0.0709027549302398,"all",60
"32","Penalized weighted median",-0.04564689943011,0.0337136071340779,-0.111724355201835,0.0204305563416152,0.175748913205344,"Steiger Filtered",57
"33","Penalized weighted median",0.030315205857713,0.0335931433690948,-0.0355261452732034,0.0961565569886294,0.366832513800365,"PheWAS T-test Filtered",49
"34","Penalized weighted median",0.030315205857713,0.0335931433690948,-0.0355261452732034,0.0961565569886294,0.366832513800365,"PheWAS T-test Filtered - Sensitivity",49
"35","Penalized weighted median",-0.266120634618656,0.0401126226616061,-0.344739930360849,-0.187501338876462,3.2596554883018e-11,"PheWAS PVE Filtered",40
"36","Penalized weighted median",-0.265766973229778,0.0414310750147751,-0.346970388099514,-0.184563558360041,1.41121537386523e-10,"PheWAS PVE Filtered - Sensitivity",39
"37","Penalized weighted median",0.0278457427315421,0.0518784978240091,-0.0738342445755552,0.129525730038639,0.591440859049865,"Core GI",28
"41","IVW",-0.0551809074066882,0.0738975764665585,-0.200017495825938,0.0896556810125611,0.45523170314548,"all",60
"42","IVW",-0.0406943103407445,0.0512736973062808,-0.141188910415263,0.0598002897337743,0.427388534777142,"Steiger Filtered",57
"43","IVW",0.00924837929667577,0.053135271056684,-0.0948948382831984,0.11339159687655,0.861823425865163,"PheWAS T-test Filtered",49
"44","IVW",0.00924837929667577,0.053135271056684,-0.0948948382831984,0.11339159687655,0.861823425865163,"PheWAS T-test Filtered - Sensitivity",49
"45","IVW",-0.132545571270538,0.110015647787242,-0.348172278669377,0.0830811361283007,0.228285016783656,"PheWAS PVE Filtered",40
"46","IVW",-0.129717170798116,0.112474805426629,-0.35016373860246,0.0907293970062275,0.248787351496455,"PheWAS PVE Filtered - Sensitivity",39
"47","IVW",-0.00774075369376819,0.0774959465969475,-0.159630017971625,0.144148510584088,0.920434896994821,"Core GI",28
"51","Penalized IVW",-0.0597822286372079,0.0233444669061418,-0.105536543011533,-0.0140279142628829,0.0104409340441251,"all",60
"52","Penalized IVW",-0.054132401575912,0.0240712637823305,-0.101311211651643,-0.00695359150018088,0.0245227284105661,"Steiger Filtered",57
"53","Penalized IVW",0.0113499870902733,0.0264425306374034,-0.0404764206191343,0.063176394799681,0.667754210913057,"PheWAS T-test Filtered",49
"54","Penalized IVW",0.0113499870902733,0.0264425306374034,-0.0404764206191343,0.063176394799681,0.667754210913057,"PheWAS T-test Filtered - Sensitivity",49
"55","Penalized IVW",-0.265487724802125,0.0261421607795861,-0.316725418408169,-0.21425003119608,3.13076455571366e-24,"PheWAS PVE Filtered",40
"56","Penalized IVW",-0.26289179554629,0.0268130306727276,-0.315444369981204,-0.210339221111376,1.07542355220007e-22,"PheWAS PVE Filtered - Sensitivity",39
"57","Penalized IVW",-0.103295561437461,0.0381102900899808,-0.177990357454197,-0.028600765420725,0.00671945001372088,"Core GI",28
"61","Robust IVW",-0.0494661205511833,0.055015217177205,-0.157293964820154,0.0583617237177878,0.368580629034262,"all",60
"62","Robust IVW",-0.0404301605073165,0.053726105686699,-0.145731392682839,0.0648710716682061,0.451736264876279,"Steiger Filtered",57
"63","Robust IVW",0.0269374553215247,0.044606911115399,-0.0604904839262368,0.114365394569286,0.545919941135206,"PheWAS T-test Filtered",49
"64","Robust IVW",0.0269374553215247,0.044606911115399,-0.0604904839262368,0.114365394569286,0.545919941135206,"PheWAS T-test Filtered - Sensitivity",49
"65","Robust IVW",-0.158490688485466,0.0831425573279685,-0.321447106430841,0.0044657294599092,0.0566174838121286,"PheWAS PVE Filtered",40
"66","Robust IVW",-0.15651303620926,0.0860073602696674,-0.32508436474317,0.012058292324649,0.0687950616093721,"PheWAS PVE Filtered - Sensitivity",39
"67","Robust IVW",-0.0175523929051126,0.0758590524600216,-0.166233403628089,0.131128617817864,0.81701831774913,"Core GI",28
"71","Penalized robust IVW",-0.144866150088334,0.335277344024411,-0.801997669208426,0.512265369031757,0.665684320852445,"all",60
"72","Penalized robust IVW",-0.0713011138953679,0.119700992094462,-0.305910747314226,0.16330851952349,0.551402268204441,"Steiger Filtered",57
"73","Penalized robust IVW",0.010182921850275,0.0334656036949725,-0.0554084561127616,0.0757742998133116,0.760914399756844,"PheWAS T-test Filtered",49
"74","Penalized robust IVW",0.010182921850275,0.0334656036949725,-0.0554084561127616,0.0757742998133116,0.760914399756844,"PheWAS T-test Filtered - Sensitivity",49
"75","Penalized robust IVW",-0.267406973172821,0.0396334990327188,-0.345087203858252,-0.189726742487389,1.50939698165713e-11,"PheWAS PVE Filtered",40
"76","Penalized robust IVW",-0.26593709677529,0.0427459511244372,-0.349717621464096,-0.182156572086483,4.92926580558614e-10,"PheWAS PVE Filtered - Sensitivity",39
"77","Penalized robust IVW",-0.258248748124188,0.0722443905693579,-0.399845151725174,-0.116652344523201,0.000350690452969376,"Core GI",28
"8","MR-Egger",-0.501855681366654,0.32770535663031,-1.14414637790291,0.140435015169607,0.125664761960879,"all",60
"81","MR-Egger",-0.107015026116364,0.232023182938396,-0.561772108253968,0.347742056021241,0.644636774236673,"Steiger Filtered",57
