"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"1","Simple median",0.0809058654840552,0.0710939843220904,-0.0584357833046971,0.220247514272808,0.255115129765403,"all",78
"2","Simple median",0.0809058654840552,0.0710939843220904,-0.0584357833046971,0.220247514272808,0.255115129765403,"Steiger Filtered",78
"3","Simple median",-0.031747062545695,0.0786879030357691,-0.185972518514782,0.122478393423392,0.686613209114586,"PheWAS T-test Filtered",60
"4","Simple median",-0.031747062545695,0.0786879030357691,-0.185972518514782,0.122478393423392,0.686613209114586,"PheWAS T-test Filtered - Sensitivity",60
"5","Simple median",0.192009759369335,0.0955644697508516,0.00470684045599806,0.379312678282671,0.0445141232232291,"PheWAS PVE Filtered",49
"6","Simple median",0.197650445003991,0.0941292691336895,0.0131604676108815,0.3821404223971,0.0357484898444868,"PheWAS PVE Filtered - Sensitivity",48
"7","Simple median",0.0805290332030356,0.126107617566564,-0.166637355403581,0.327695421809652,0.523100164718345,"Core GI",31
"21","Weighted median",0.0807378002849162,0.0716216351237337,-0.0596380250714708,0.221113625641303,0.259623151106356,"all",78
"22","Weighted median",0.0807378002849162,0.0716216351237337,-0.0596380250714708,0.221113625641303,0.259623151106356,"Steiger Filtered",78
"23","Weighted median",0.00202825706120498,0.0791700916785399,-0.153142271281467,0.157198785403877,0.979561246523446,"PheWAS T-test Filtered",60
"24","Weighted median",0.00202825706120498,0.0791700916785399,-0.153142271281467,0.157198785403877,0.979561246523446,"PheWAS T-test Filtered - Sensitivity",60
"25","Weighted median",0.148526238899163,0.094474945894724,-0.0366412524958664,0.333693730294192,0.115922019726329,"PheWAS PVE Filtered",49
"26","Weighted median",0.160187308315748,0.094633721175533,-0.0252913769113019,0.345665993542798,0.0905109582941198,"PheWAS PVE Filtered - Sensitivity",48
"27","Weighted median",0.0806415340629084,0.12224715393682,-0.158958484865783,0.3202415529916,0.509472164612765,"Core GI",31
"31","Penalized weighted median",0.0842260713135782,0.0721092989179114,-0.0571055575159612,0.225557700143118,0.242793282966438,"all",78
"32","Penalized weighted median",0.0842260713135782,0.0721092989179114,-0.0571055575159612,0.225557700143118,0.242793282966438,"Steiger Filtered",78
"33","Penalized weighted median",0.00718181229725396,0.0796772851541368,-0.148982796990782,0.16334642158529,0.928178937098008,"PheWAS T-test Filtered",60
"34","Penalized weighted median",0.00718181229725396,0.0796772851541368,-0.148982796990782,0.16334642158529,0.928178937098008,"PheWAS T-test Filtered - Sensitivity",60
"35","Penalized weighted median",0.253876890243782,0.0941846688692503,0.0692783313642207,0.438475449123343,0.00702783398583071,"PheWAS PVE Filtered",49
"36","Penalized weighted median",0.282158847761396,0.0950729884317333,0.095819214532606,0.468498480990187,0.00299926773294313,"PheWAS PVE Filtered - Sensitivity",48
"37","Penalized weighted median",0.0839445917440851,0.121265716616747,-0.15373184538418,0.32162102887235,0.488788631360721,"Core GI",31
"41","IVW",0.0262462630808151,0.0718947411265701,-0.114664840205093,0.167157366366723,0.715062788751259,"all",78
"42","IVW",0.0262462630808151,0.0718947411265701,-0.114664840205093,0.167157366366723,0.715062788751259,"Steiger Filtered",78
"43","IVW",-0.062017159319,0.0830225458897823,-0.224738359167797,0.100704040529797,0.455068522790325,"PheWAS T-test Filtered",60
"44","IVW",-0.062017159319,0.0830225458897823,-0.224738359167797,0.100704040529797,0.455068522790325,"PheWAS T-test Filtered - Sensitivity",60
"45","IVW",0.109006816529208,0.105565775943361,-0.0978983023198053,0.31591193537822,0.30179291858841,"PheWAS PVE Filtered",49
"46","IVW",0.112978769740487,0.107322670739623,-0.0973697996338246,0.323327339114799,0.292477678859559,"PheWAS PVE Filtered - Sensitivity",48
"47","IVW",-0.0184974357143925,0.149032353592843,-0.310595481287604,0.273600609858819,0.901222706805566,"Core GI",31
"51","Penalized IVW",0.0576978650432,0.056155462854782,-0.0523648196873496,0.16776054977375,0.304200783572087,"all",78
"52","Penalized IVW",0.0576978650432,0.056155462854782,-0.0523648196873496,0.16776054977375,0.304200783572087,"Steiger Filtered",78
"53","Penalized IVW",-0.075517278966997,0.0627209750364401,-0.198448131113655,0.0474135731796614,0.228582029599186,"PheWAS T-test Filtered",60
"54","Penalized IVW",-0.075517278966997,0.0627209750364401,-0.198448131113655,0.0474135731796614,0.228582029599186,"PheWAS T-test Filtered - Sensitivity",60
"55","Penalized IVW",0.250320928035097,0.0713406655649367,0.110495792894705,0.39014606317549,0.00045011426439419,"PheWAS PVE Filtered",49
"56","Penalized IVW",0.262076108567445,0.0719899350521798,0.120978428615795,0.403173788519095,0.000272156825618771,"PheWAS PVE Filtered - Sensitivity",48
"57","Penalized IVW",0.0709994737074602,0.103062691350691,-0.130999689489662,0.272998636904582,0.49088872970952,"Core GI",31
"61","Robust IVW",0.0351753212174833,0.0760128133312359,-0.113807055275305,0.184157697710272,0.643539878863479,"all",78
"62","Robust IVW",0.0351753212174833,0.0760128133312359,-0.113807055275305,0.184157697710272,0.643539878863479,"Steiger Filtered",78
"63","Robust IVW",-0.0696050717528133,0.0786460194495214,-0.223748437401312,0.0845382938956853,0.37613369542959,"PheWAS T-test Filtered",60
"64","Robust IVW",-0.0696050717528133,0.0786460194495214,-0.223748437401312,0.0845382938956853,0.37613369542959,"PheWAS T-test Filtered - Sensitivity",60
"65","Robust IVW",0.154823301539754,0.12611636828559,-0.0923602381609919,0.402006841240501,0.219588681046925,"PheWAS PVE Filtered",49
"66","Robust IVW",0.161238479661329,0.129502080134335,-0.0925809333249873,0.415057892647645,0.213107936987594,"PheWAS PVE Filtered - Sensitivity",48
"67","Robust IVW",-0.0160451823537655,0.155928828882578,-0.321660071115127,0.289569706407596,0.918041798869701,"Core GI",31
"71","Penalized robust IVW",0.0606176630160198,0.0591665882330743,-0.0553467190089171,0.176582045040957,0.305587255450433,"all",78
"72","Penalized robust IVW",0.0606176630160198,0.0591665882330743,-0.0553467190089171,0.176582045040957,0.305587255450433,"Steiger Filtered",78
"73","Penalized robust IVW",-0.0688278095194811,0.0696890410037587,-0.205415820003983,0.0677602009650209,0.323328109795889,"PheWAS T-test Filtered",60
"74","Penalized robust IVW",-0.0688278095194811,0.0696890410037587,-0.205415820003983,0.0677602009650209,0.323328109795889,"PheWAS T-test Filtered - Sensitivity",60
"75","Penalized robust IVW",0.256669824699815,0.0752772845649705,0.1091290580985,0.40421059130113,0.000650442968489867,"PheWAS PVE Filtered",49
"76","Penalized robust IVW",0.269298525582572,0.0762190737240071,0.119911886148515,0.418685165016629,0.000410535382485474,"PheWAS PVE Filtered - Sensitivity",48
"77","Penalized robust IVW",0.0632333054090985,0.109039773685965,-0.150480723897791,0.276947334715988,0.561975000976775,"Core GI",31
"8","MR-Egger",0.352272598438132,0.319919810104469,-0.274758707307521,0.979303904183786,0.270841036907111,"all",78
"81","MR-Egger",0.352272598438132,0.319919810104469,-0.274758707307521,0.979303904183786,0.270841036907111,"Steiger Filtered",78
"82","MR-Egger",0.333217488138282,0.369339932749402,-0.390675478102992,1.05711045437956,0.366952071689675,"PheWAS T-test Filtered",60
"83","MR-Egger",0.333217488138282,0.369339932749402,-0.390675478102992,1.05711045437956,0.366952071689675,"PheWAS T-test Filtered - Sensitivity",60
"84","MR-Egger",0.287863945525052,0.518187303901156,-0.727764507367125,1.30349239841723,0.578538328815213,"PheWAS PVE Filtered",49
"85","MR-Egger",0.273805524466408,0.525995239392015,-0.757126200781464,1.30473724971428,0.602682006826867,"PheWAS PVE Filtered - Sensitivity",48
"86","MR-Egger",0.221415145839877,0.803322308371651,-1.35306764654614,1.79589793822589,0.782836646603495,"Core GI",31
"9","(intercept)",-0.00531792497318435,0.0050850078968337,-0.0152843573120802,0.00464850736571146,0.295651227550358,"all",78
"91","(intercept)",-0.00531792497318435,0.0050850078968337,-0.0152843573120802,0.00464850736571146,0.295651227550358,"Steiger Filtered",78
"92","(intercept)",-0.00631639036628204,0.00575203179580364,-0.0175901655239864,0.00495738479142235,0.272154430211381,"PheWAS T-test Filtered",60
"93","(intercept)",-0.00631639036628204,0.00575203179580364,-0.0175901655239864,0.00495738479142235,0.272154430211381,"PheWAS T-test Filtered - Sensitivity",60
"94","(intercept)",-0.00287931812438983,0.00816377291696008,-0.0188800190195951,0.0131213827708154,0.724317453949971,"PheWAS PVE Filtered",49
"95","(intercept)",-0.00259726330035989,0.00831229775254506,-0.0188890675241214,0.0136945409234017,0.754690706799911,"PheWAS PVE Filtered - Sensitivity",48
"96","(intercept)",-0.00367760415006066,0.012093579287755,-0.02738058399824,0.0200253756981186,0.76105506517484,"Core GI",31
"10","Penalized MR-Egger",0.474208402338904,0.242464657132817,-0.00101359316527044,0.949430397843079,0.0504906504779099,"all",78
"101","Penalized MR-Egger",0.474208402338904,0.242464657132817,-0.00101359316527044,0.949430397843079,0.0504906504779099,"Steiger Filtered",78
"102","Penalized MR-Egger",0.471873841301663,0.260397463053858,-0.0384958079494976,0.982243490552823,0.0699662385156543,"PheWAS T-test Filtered",60
"103","Penalized MR-Egger",0.471873841301663,0.260397463053858,-0.0384958079494976,0.982243490552823,0.0699662385156543,"PheWAS T-test Filtered - Sensitivity",60
"104","Penalized MR-Egger",0.628663057311192,0.367547837542596,-0.0917174668678743,1.34904358149026,0.0871872875667372,"PheWAS PVE Filtered",49
"105","Penalized MR-Egger",0.606494731537569,0.371636909892512,-0.12190022717751,1.33488969025265,0.102688955951143,"PheWAS PVE Filtered - Sensitivity",48
"106","Penalized MR-Egger",0.389010706580328,0.549222425604757,-0.687445467106724,1.46546688026738,0.478762976058008,"Core GI",31
"11","(intercept)",-0.00696661942206247,0.00382105675577641,-0.0144557530462677,0.00052251420214274,0.0682703812539238,"all",78
"111","(intercept)",-0.00696661942206247,0.00382105675577641,-0.0144557530462677,0.00052251420214274,0.0682703812539238,"Steiger Filtered",78
"112","(intercept)",-0.00900669361012552,0.00408062135312343,-0.0170045644967925,-0.00100882272345851,0.0273010111755272,"PheWAS T-test Filtered",60
"113","(intercept)",-0.00900669361012552,0.00408062135312343,-0.0170045644967925,-0.00100882272345851,0.0273010111755272,"PheWAS T-test Filtered - Sensitivity",60
"114","(intercept)",-0.00650745393226356,0.00566191555397728,-0.0176046045015662,0.00458969663703905,0.250416690504959,"PheWAS PVE Filtered",49
"115","(intercept)",-0.00606379101856354,0.00574487484626669,-0.0173235388129363,0.00519595677580926,0.29119069271461,"PheWAS PVE Filtered - Sensitivity",48
"116","(intercept)",-0.00597209392606164,0.00822906020140752,-0.0221007555474323,0.010156567695309,0.46800296074328,"Core GI",31
"12","Robust MR-Egger",0.391405004624642,0.30936702680078,-0.214943225909124,0.997753235158407,0.205806775842484,"all",78
"121","Robust MR-Egger",0.391405004624642,0.309367026839286,-0.214943225984594,0.997753235233877,0.205806775898921,"Steiger Filtered",78
"122","Robust MR-Egger",0.37458415869897,0.312379181255445,-0.237667786081812,0.986836103479752,0.23047626667248,"PheWAS T-test Filtered",60
"123","Robust MR-Egger",0.374584158698789,0.312379177878929,-0.237667779464144,0.986836096861721,0.230476261633596,"PheWAS T-test Filtered - Sensitivity",60
"124","Robust MR-Egger",0.344454357686082,0.638882830105657,-0.907732979662027,1.59664169503419,0.589782623337105,"PheWAS PVE Filtered",49
"125","Robust MR-Egger",0.314706597277108,0.635012276667474,-0.929894594731925,1.55930778928614,0.620182750441463,"PheWAS PVE Filtered - Sensitivity",48
"126","Robust MR-Egger",0.237636036126974,0.909589852929274,-1.54512731631749,2.02039938857144,0.793894900832603,"Core GI",31
"13","(intercept)",-0.0058722710518495,0.00510743900025695,-0.0158826675455884,0.00413812544188938,0.250247413920188,"all",78
"131","(intercept)",-0.0058722710518495,0.00510743900089259,-0.0158826675468342,0.00413812544313522,0.250247413979141,"Steiger Filtered",78
"132","(intercept)",-0.007249551972605,0.00519469160877975,-0.0174309604366058,0.00293185649139575,0.162844241889347,"PheWAS T-test Filtered",60
"133","(intercept)",-0.00724955197260083,0.00519469152538467,-0.0174309602731502,0.00293185632794855,0.16284423513882,"PheWAS T-test Filtered - Sensitivity",60
"134","(intercept)",-0.00308820009388403,0.0100388600516446,-0.0227640042409453,0.0165876040531773,0.75836801549059,"PheWAS PVE Filtered",49
"135","(intercept)",-0.00254427349091325,0.0101239311751734,-0.0223868139762154,0.0172982669943889,0.801572279679335,"PheWAS PVE Filtered - Sensitivity",48
"136","(intercept)",-0.00391586958953538,0.0139881293779822,-0.0313320993814672,0.0235003602023964,0.779521747152629,"Core GI",31
"14","Penalized robust MR-Egger",0.500530330777761,0.24202594465236,0.0261681959348508,0.974892465620671,0.0386319901459329,"all",78
"141","Penalized robust MR-Egger",0.50053033077776,0.242025948168272,0.0261681890437889,0.974892472511732,0.038631992970493,"Steiger Filtered",78
"142","Penalized robust MR-Egger",0.483631979212456,0.253032551099412,-0.0123027078586812,0.979566666283594,0.0559605247278943,"PheWAS T-test Filtered",60
"143","Penalized robust MR-Egger",0.483631979212457,0.253032551083399,-0.0123027078272977,0.979566666252211,0.0559605247123609,"PheWAS T-test Filtered - Sensitivity",60
