"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"1","Simple median",-0.101826025147675,0.0249713630815072,-0.150768997432302,-0.0528830528630479,4.54810675981189e-05,"all",75
"2","Simple median",-0.101826025147675,0.0249713630815072,-0.150768997432302,-0.0528830528630479,4.54810675981189e-05,"Steiger Filtered",75
"3","Simple median",-0.115969584834616,0.0252798997680994,-0.165517277912873,-0.0664218917563582,4.48751604573031e-06,"PheWAS T-test Filtered",59
"4","Simple median",-0.115969584834616,0.0252798997680994,-0.165517277912873,-0.0664218917563582,4.48751604573031e-06,"PheWAS T-test Filtered - Sensitivity",59
"5","Simple median",-0.0847572198678185,0.0387461591568537,-0.160698296354509,-0.00881614338112838,0.02870604940536,"PheWAS PVE Filtered",47
"6","Simple median",-0.0686286376048975,0.0368590569860509,-0.140871061801667,0.00361378659187164,0.0626142824950766,"PheWAS PVE Filtered - Sensitivity",46
"7","Simple median",-0.115969584834616,0.0395537528115547,-0.193493515798663,-0.0384456538705685,0.00336842089701671,"Core GI",31
"21","Weighted median",-0.115525202064622,0.0242369326361241,-0.163028717127149,-0.0680216870020958,1.8745899994121e-06,"all",75
"22","Weighted median",-0.115525202064622,0.0242369326361241,-0.163028717127149,-0.0680216870020958,1.8745899994121e-06,"Steiger Filtered",75
"23","Weighted median",-0.134601675432457,0.0245750184179105,-0.18276782645097,-0.0864355244139438,4.3216987017242e-08,"PheWAS T-test Filtered",59
"24","Weighted median",-0.134601675432457,0.0245750184179105,-0.18276782645097,-0.0864355244139438,4.3216987017242e-08,"PheWAS T-test Filtered - Sensitivity",59
"25","Weighted median",-0.127012931748644,0.03520442122582,-0.196012329447828,-0.0580135340494592,0.000308722567861966,"PheWAS PVE Filtered",47
"26","Weighted median",-0.114494161234148,0.0352071377266838,-0.183498883177189,-0.0454894392911061,0.00114589731084094,"PheWAS PVE Filtered - Sensitivity",46
"27","Weighted median",-0.183744751245499,0.0363106458003159,-0.254912309269508,-0.112577193221489,4.18477008931255e-07,"Core GI",31
"31","Penalized weighted median",-0.124149670101044,0.0243913722499807,-0.171955881244515,-0.0763434589575718,3.58250494540275e-07,"all",75
"32","Penalized weighted median",-0.124149670101044,0.0243913722499807,-0.171955881244515,-0.0763434589575718,3.58250494540275e-07,"Steiger Filtered",75
"33","Penalized weighted median",-0.14275044354019,0.0248535891211772,-0.191462583104253,-0.0940383039761259,9.26544244963988e-09,"PheWAS T-test Filtered",59
"34","Penalized weighted median",-0.14275044354019,0.0248535891211772,-0.191462583104253,-0.0940383039761259,9.26544244963988e-09,"PheWAS T-test Filtered - Sensitivity",59
"35","Penalized weighted median",-0.156055120575106,0.0353848424815462,-0.22540813743756,-0.0867021037126527,1.03263219117314e-05,"PheWAS PVE Filtered",47
"36","Penalized weighted median",-0.126503574328049,0.0353886591114159,-0.19586407164759,-0.0571430770085091,0.000350639752462836,"PheWAS PVE Filtered - Sensitivity",46
"37","Penalized weighted median",-0.207087629870068,0.0370513376103283,-0.279706917165346,-0.13446834257479,2.28107686711676e-08,"Core GI",31
