"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",-0.101826025147675,0.0249713630815072,-0.150768997432302,-0.0528830528630479,4.54810675981189e-05
"2","Weighted median",-0.115525202064622,0.0242369326361241,-0.163028717127149,-0.0680216870020958,1.8745899994121e-06
"3","Penalized weighted median",-0.124149670101044,0.0243913722499807,-0.171955881244515,-0.0763434589575718,3.58250494540275e-07
"4","IVW",-0.0912681764178867,0.0506779367960704,-0.190595107348982,0.00805875451320842,0.0717115507322914
"5","Penalized IVW",-0.121695187495346,0.0165311346676336,-0.154095616067489,-0.0892947589232021,1.81752865555163e-13
"6","Robust IVW",-0.0992187567213275,0.0425325353854881,-0.18258099424806,-0.0158565191945954,0.0196600543814509
"7","Penalized robust IVW",-0.123784297651458,0.0206433603043202,-0.164244540367809,-0.0833240549351063,2.01832881211309e-09
"8","MR-Egger",0.261670347246146,0.219339355116599,-0.168226889174629,0.691567583666922,0.232872057450966
"9","(intercept)",-0.0057406151183441,0.00347330450948556,-0.0125481668642764,0.00106693662758816,0.098375241957984
"10","Penalized MR-Egger",0.237785331413845,0.0903946520591758,0.060615068982831,0.414955593844859,0.00852532674206907
"11","(intercept)",-0.00542898853582894,0.00136557775075942,-0.00810547174540662,-0.00275250532625126,7.02025487144819e-05
"12","Robust MR-Egger",0.232173026061263,0.235252664063238,-0.228913722769783,0.693259774892309,0.323687137906544
"13","(intercept)",-0.00522444320588065,0.00342293103705739,-0.0119332647600775,0.00148437834831617,0.126933455008952
"14","Penalized robust MR-Egger",0.175610982841564,0.241486182564875,-0.297693237749656,0.648915203432784,0.46709778785397
"15","(intercept)",-0.00438783775192013,0.00336587095847833,-0.010984823607147,0.00220914810330672,0.192361044395025
