"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",0.12563881857287,0.0229557126880541,0.0806464484648348,0.170631188680905,4.42240457802371e-08
"2","Weighted median",0.122641721510929,0.0230753926739622,0.0774147829408437,0.167868660081014,1.06758667196105e-07
"3","Penalized weighted median",0.136902764365878,0.0231701264246522,0.0914901510563203,0.182315377675436,3.45049453985652e-09
"4","IVW",-0.148161987352303,0.232000653620141,-0.602874912837532,0.306550938132926,0.523065315267873
"5","Penalized IVW",0.119346402743865,0.0176975517164511,0.0846598387650858,0.154032966722644,1.54437841125628e-11
"6","Robust IVW",0.124991045450309,0.0197910798609088,0.0862012417077716,0.163780849192846,2.6924710303523e-10
"7","Penalized robust IVW",0.125045941744895,0.0192583052386532,0.0873003570738556,0.162791526415934,8.40924713355067e-11
"8","MR-Egger",-1.18294783697656,1.17734071692601,-3.4904932396841,1.12459756573098,0.315011210655903
"9","(intercept)",0.0175658101379058,0.0195922935404411,-0.0208343795758956,0.0559659998517072,0.369949842161027
"10","Penalized MR-Egger",-0.40563896147754,0.190917195112595,-0.779829787927633,-0.0314481350274468,0.0336128793340644
"11","(intercept)",0.00747722661251011,0.00288651425699745,0.00181976262793372,0.0131346905970865,0.0095864461375883
"12","Robust MR-Egger",0.0851112165481716,0.0907261601365333,-0.0927087897750471,0.26293122287139,0.34818732560468
"13","(intercept)",0.000701152069045613,0.00172303968190778,-0.00267594365142699,0.00407824778951821,0.684061306215811
"14","Penalized robust MR-Egger",-0.864884599263161,0.234773313568348,-1.32503183838825,-0.40473736013807,0.000229680134357313
"15","(intercept)",0.0156057671877925,0.00377437664431169,0.00820812490085242,0.0230034094747325,3.55479270370829e-05
