"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",-0.0184123705019924,0.00598960370809608,-0.0301517780515282,-0.00667296295245648,0.00211170583385621
"2","Weighted median",-0.022168498854936,0.00604558013956137,-0.0340176181941269,-0.0103193795157451,0.000245514934159958
"3","Penalized weighted median",-0.012492509440291,0.00601847626784687,-0.0242885061670799,-0.000696512713502125,0.0379223479244907
"4","IVW",-0.0252380482016883,0.00730371365651058,-0.0395530639218423,-0.0109230324815342,0.000549254874468521
"5","Penalized IVW",-0.0196835763451109,0.00457527061506272,-0.0286509419701582,-0.0107162107200635,1.69136071265317e-05
"6","Robust IVW",-0.0272892343507491,0.00742156701603085,-0.04183523841102,-0.0127432302904783,0.000235976539016103
"7","Penalized robust IVW",-0.0194498141211334,0.00535934585678096,-0.029953938981118,-0.00894568926114875,0.000284367470417194
"8","MR-Egger",-0.0668759337702909,0.0314691716095771,-0.128554376748372,-0.00519749079220946,0.0335761563252166
"9","(intercept)",0.000644749745654764,0.000474143871122958,-0.000284555165236634,0.00157405465654616,0.173887274429588
"10","Penalized MR-Egger",-0.0769912130137269,0.0197936635606161,-0.115786080714637,-0.0381963453128165,0.00010037240360794
"11","(intercept)",0.000815245348574445,0.000296374207873314,0.000234362575196161,0.00139612812195273,0.00594626785717245
"12","Robust MR-Egger",-0.0801674365073003,0.028771514199751,-0.136558568119495,-0.0237763048951057,0.00533056941863141
"13","(intercept)",0.000796659781029516,0.000408305269298387,-3.60384149325108e-06,0.00159692340355228,0.0510406742856351
"14","Penalized robust MR-Egger",-0.0733333637001018,0.0312539922134284,-0.134590062811517,-0.0120766645886869,0.0189573855030318
"15","(intercept)",0.000762162627221603,0.000439905759243023,-0.000100036817486469,0.00162436207192968,0.0831741041859431
