"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",0.105424610851896,0.037875775833002,0.0311894543326993,0.179659767371092,0.00537872919912429
"2","Weighted median",0.0778843851275895,0.0385134249193204,0.00239945936443409,0.153369310890745,0.0431488915398429
"3","Penalized weighted median",0.12962802985017,0.0385607354441216,0.0540503771623145,0.205205682538025,0.000774758351947893
"4","IVW",0.041778435967976,0.0548125728093794,-0.065652232638387,0.149209104574339,0.445937456520554
"5","Penalized IVW",0.113504411834064,0.0275215004760117,0.0595632621005791,0.167445561567549,3.72011464608492e-05
"6","Robust IVW",0.0565101131518379,0.0659545165420195,-0.0727583638882715,0.185778590191947,0.391553050761103
"7","Penalized robust IVW",0.127171763765268,0.0457140653302592,0.0375738421310487,0.216769685399487,0.00540423976880674
"8","MR-Egger",-0.25914955200094,0.363123422337943,-0.970858381726236,0.452559277724356,0.475432523122592
"9","(intercept)",0.00418535994531539,0.00499216160095509,-0.0055990969975604,0.0139698168881912,0.401813775426255
"10","Penalized MR-Egger",-0.215519454280013,0.209209969292794,-0.62556345930062,0.194524550740595,0.302935548769564
"11","(intercept)",0.00371347921350378,0.00275804446361394,-0.00169218860293963,0.0091191470299472,0.178167924085214
"12","Robust MR-Egger",-0.181563739638078,0.580916069079706,-1.32013831307488,0.957010833798729,0.754624634027622
"13","(intercept)",0.00325661963146843,0.00734219346771169,-0.0111338151327717,0.0176470543957086,0.657368974671547
"14","Penalized robust MR-Egger",-0.186126592968033,NA,NA,NA,NA
"15","(intercept)",0.00366498364114954,NA,NA,NA,NA
