"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",0.0301970139467065,0.0339023241158516,-0.0362503203125664,0.0966443482059794,0.373086749796583
"2","Weighted median",0.0302665374884067,0.0331778215285461,-0.0347607977930413,0.0952938727698548,0.361636021330444
"3","Penalized weighted median",0.030315205857713,0.0335931433690948,-0.0355261452732034,0.0961565569886294,0.366832513800365
"4","IVW",0.00924837929667577,0.053135271056684,-0.0948948382831984,0.11339159687655,0.861823425865163
"5","Penalized IVW",0.0113499870902733,0.0264425306374034,-0.0404764206191343,0.063176394799681,0.667754210913057
"6","Robust IVW",0.0269374553215247,0.044606911115399,-0.0604904839262368,0.114365394569286,0.545919941135206
"7","Penalized robust IVW",0.010182921850275,0.0334656036949725,-0.0554084561127616,0.0757742998133116,0.760914399756844
"8","MR-Egger",-0.169121441458389,0.242650696283055,-0.644708066996744,0.306465184079966,0.485818510534408
"9","(intercept)",0.00269514329291412,0.00357661473135668,-0.00431489276712038,0.00970517935294862,0.451121952396459
"10","Penalized MR-Egger",-0.185905932869978,0.118921810413042,-0.418988398255842,0.0471765325158854,0.117991010687724
"11","(intercept)",0.0028057962791205,0.00178970157791808,-0.00070195435667343,0.00631354691491443,0.116940579677072
"12","Robust MR-Egger",-0.0922678065898371,0.215366659835251,-0.514378703337618,0.329843090157944,0.668343939265031
"13","(intercept)",0.00183131695658091,0.00346262832410018,-0.00495530985050373,0.00861794376366555,0.596888278401956
"14","Penalized robust MR-Egger",-0.231760186344203,0.265625705309805,-0.752377002119471,0.288856629431066,0.382932058249893
"15","(intercept)",0.0034589316742678,0.00374386030109441,-0.00387889967902652,0.0107967630275621,0.355541284025237
