"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",0.136416244632831,0.0260143612256706,0.0854290335497008,0.18740345571596,1.57232645076709e-07
"2","Weighted median",0.136133447351724,0.0259623200215972,0.0852482351542904,0.187018659549158,1.57558074668232e-07
"3","Penalized weighted median",0.140535744199551,0.0259918202074869,0.0895927127002368,0.191478775698866,6.411705276935e-08
"4","IVW",0.114686341369459,0.026306122591476,0.063127288517271,0.166245394221648,1.3025130876465e-05
"5","Penalized IVW",0.122990161911616,0.0186745158137795,0.0863887834878843,0.159591540335347,4.51866272130023e-11
"6","Robust IVW",0.128321369849891,0.0203920128911002,0.0883537590110579,0.168288980688723,3.11936696371181e-10
"7","Penalized robust IVW",0.128662182683164,0.0198540761009844,0.0897489085789175,0.167575456787411,9.14850239939001e-11
"8","MR-Egger",0.035304398847875,0.133732234859128,-0.226805965048068,0.297414762743818,0.791785168787246
"9","(intercept)",0.00131533528499048,0.00217186863634064,-0.00294144902138929,0.00557211959137025,0.544764610214374
"10","Penalized MR-Egger",0.104083199492573,0.0950342756303674,-0.0821805580397995,0.290346957024946,0.273421371172569
"11","(intercept)",0.000297204895300605,0.00155211604853607,-0.00274488665965672,0.00333929645025793,0.848146664165041
"12","Robust MR-Egger",0.0816757419108797,0.0909773888741632,-0.0966366636899752,0.259988147511735,0.369314209899502
"13","(intercept)",0.000812506304233749,0.00175137652256315,-0.00262012860335903,0.00424514121182653,0.642701909857219
"14","Penalized robust MR-Egger",0.0833290692275685,0.0951786307748695,-0.103217619189011,0.269875757644148,0.381300893180899
"15","(intercept)",0.000799218465940237,0.00186443726990835,-0.00285501143451432,0.00445344836639479,0.668167244390744
