"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",0.113384469729181,0.192351257620978,-0.263617067588922,0.490386007047284,0.555548911260602
"2","Weighted median",0.111085117575292,0.190064007233975,-0.261433491360659,0.483603726511243,0.558909779743885
"3","Penalized weighted median",0.0428361248030526,0.19007966921182,-0.329713181045401,0.415385430651506,0.821700165642481
"4","IVW",0.226967775557964,0.165986074474571,-0.0983589523473773,0.552294503463306,0.171502949419753
"5","Penalized IVW",0.115719046517898,0.147499505293377,-0.173374671594596,0.404812764630393,0.432724177019465
"6","Robust IVW",0.111365682400037,0.169116571552229,-0.220096707031223,0.442828071831297,0.510207704964454
"7","Penalized robust IVW",0.0897425083381202,0.153788659962039,-0.211677726418153,0.391162743094393,0.559526889736056
"8","MR-Egger",0.226977842594584,0.862451476760607,-1.46339599026959,1.91735167545876,0.792413755041284
"9","(intercept)",-1.53323921918021e-07,0.0128853164736229,-0.0252549095416234,0.0252546028937796,0.999990505876177
"10","Penalized MR-Egger",0.226814913781533,0.761215627202221,-1.26514030000389,1.71877012756695,0.765730579320289
"11","(intercept)",-0.00138086506303551,0.0113479358225516,-0.0236224105741085,0.0208606804480375,0.903149086975505
"12","Robust MR-Egger",0.193753894660482,0.805026316987047,-1.38406869324105,1.77157648256202,0.80980298634639
"13","(intercept)",-0.00124861863861778,0.0122082739146736,-0.0251763958247779,0.0226791585475423,0.918537265521717
"14","Penalized robust MR-Egger",0.253970510811647,0.736342240545597,-1.18923376095325,1.69717478257655,0.730163351003528
"15","(intercept)",-0.00237028827342081,0.0111190234750586,-0.0241631738277911,0.0194225972809494,0.831191137515868
