"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",0.196620405577103,0.0384339061477449,0.12129133374233,0.271949477411875,3.12404118471285e-07
"2","Weighted median",0.168717265704147,0.0394039801861107,0.09148688369184,0.245947647716454,1.85444608161165e-05
"3","Penalized weighted median",0.235229830711014,0.0393489149327421,0.158107374612109,0.312352286809919,2.25822675524843e-09
"4","IVW",0.114568285528475,0.0849479426924684,-0.0519266227095352,0.281063193766486,0.177437146319218
"5","Penalized IVW",0.245107897417623,0.0239199582257144,0.198225640783521,0.291990154051726,1.22069148418814e-24
"6","Robust IVW",0.113466340117127,0.0819805286797882,-0.0472125435288109,0.274145223763065,0.166338703230552
"7","Penalized robust IVW",0.261645322761502,0.0842789338282637,0.0964616478026703,0.426828997720333,0.00190590433881714
"8","MR-Egger",0.346325521798074,0.414343645372237,-0.465773100354546,1.15842414395069,0.40324420162916
"9","(intercept)",-0.00346538729654529,0.00606208188945226,-0.0153468494712042,0.00841607487811365,0.567559317403663
"10","Penalized MR-Egger",0.526815265587358,0.19813236554102,0.138482964955234,0.915147566219482,0.0078394914200397
"11","(intercept)",-0.00508802422695997,0.00266474513366089,-0.0103108287169137,0.000134780262993755,0.0562124521105531
"12","Robust MR-Egger",0.537274673455103,0.720713322250443,-0.875297481333976,1.94984682824418,0.45598385625428
"13","(intercept)",-0.00597728115424333,0.00939201991643334,-0.0243853019325356,0.0124307396240489,0.524501887193006
"14","Penalized robust MR-Egger",0.388411124866304,0.495081587807316,-0.581930956644939,1.35875320637755,0.432723538655401
"15","(intercept)",-0.00225569428426538,0.00505216936802598,-0.0121577642893928,0.00764637572086203,0.655250312688545
