"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",-0.250746970064332,0.0392322786356731,-0.327640823221692,-0.173853116906973,1.64434494860709e-10
"2","Weighted median",-0.250586574228161,0.039486180702772,-0.327978066292634,-0.173195082163687,2.20721009333299e-10
"3","Penalized weighted median",-0.266120634618656,0.0401126226616061,-0.344739930360849,-0.187501338876462,3.2596554883018e-11
"4","IVW",-0.132545571270538,0.110015647787242,-0.348172278669377,0.0830811361283007,0.228285016783656
"5","Penalized IVW",-0.265487724802125,0.0261421607795861,-0.316725418408169,-0.21425003119608,3.13076455571366e-24
"6","Robust IVW",-0.158490688485466,0.0831425573279685,-0.321447106430841,0.0044657294599092,0.0566174838121286
"7","Penalized robust IVW",-0.267406973172821,0.0396334990327188,-0.345087203858252,-0.189726742487389,1.50939698165713e-11
"8","MR-Egger",-0.883065218663587,0.494087399463745,-1.85145872682758,0.0853282895004075,0.0738946344936278
"9","(intercept)",0.0113916888320329,0.00731789575168753,-0.00295112328389331,0.0257345009479591,0.11954430869676
"10","Penalized MR-Egger",-0.903147216794033,0.117680109709668,-1.1337959935217,-0.672498440066362,1.66533453693773e-14
"11","(intercept)",0.0109766792354369,0.00177029472196981,0.00750696533835472,0.0144463931325191,5.62907720436101e-10
"12","Robust MR-Egger",-0.453483738300326,0.431725429723439,-1.29965003176834,0.392682555167692,0.293534940863592
"13","(intercept)",0.00445529806255219,0.006396837799733,-0.00808227363986893,0.0169928697649733,0.486125491612082
"14","Penalized robust MR-Egger",-1.32394079196563,1.29349062566918,-3.85913583261739,1.21125424868614,0.306052087098148
"15","(intercept)",0.0159648845575725,0.010475544045778,-0.00456680449061545,0.0364965736057604,0.127505004747353
