"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",-0.0146983286315005,0.114012852438755,-0.23815941318614,0.208762755923139,0.897422396715143
"2","Weighted median",-0.025942370143426,0.113624513186815,-0.248642323750479,0.196757583463627,0.819400068303493
"3","Penalized weighted median",-0.0161982911472271,0.113488866320851,-0.238632381782377,0.206235799487922,0.886503246936802
"4","IVW",-0.202264915046148,0.191445891498652,-0.577491967371669,0.172962137279373,0.290734281860735
"5","Penalized IVW",0.0289420669329319,0.106386863659663,-0.17957235426818,0.237456488134044,0.78558703845302
"6","Robust IVW",-0.0221728875768837,0.123845688010057,-0.26490597571718,0.220560200563413,0.857909111234676
"7","Penalized robust IVW",0.0360833598267999,0.106187766728794,-0.172040838560378,0.244207558213978,0.734001781158586
"8","MR-Egger",-1.30843511535013,1.04404028851429,-3.35471647924695,0.737846248546691,0.210117657506498
"9","(intercept)",0.0182388409598003,0.0169241120861854,-0.0149318091994422,0.0514094911190428,0.281174902706292
"10","Penalized MR-Egger",-0.894826712563458,0.613707655620628,-2.0976716146164,0.308018189489482,0.144822151623826
"11","(intercept)",0.0122146426589694,0.00972236327043796,-0.00684083919570409,0.0312701245136428,0.208990906681049
"12","Robust MR-Egger",-0.174099527583253,0.641880999833375,-1.43216316961723,1.08396411445072,0.786211571977294
"13","(intercept)",0.00244099952357935,0.00965577773934907,-0.0164839770882684,0.0213659761354271,0.800421254169276
"14","Penalized robust MR-Egger",-0.709377415850206,0.793937452914416,-2.26546622953992,0.846711397839513,0.371593314017119
"15","(intercept)",0.00977391422138351,0.0115657437254706,-0.012894526934959,0.032442355377726,0.398069286931617
