"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",-0.0230175000212482,0.00656992420521077,-0.0358943148446192,-0.0101406851978772,0.000459246867543678
"2","Weighted median",-0.0225848967428003,0.00693786111558712,-0.036182854659092,-0.00898693882650868,0.00113268192378364
"3","Penalized weighted median",-0.0213102674872155,0.00722803584344122,-0.0354769574193249,-0.00714357755510616,0.00319548355115801
"4","IVW",-0.0297776775590495,0.00879994303445691,-0.0470252489725892,-0.0125301061455098,0.000714773276364887
"5","Penalized IVW",-0.0229165191687903,0.0050078460108136,-0.0327317169901075,-0.013101321347473,4.73672181637629e-06
"6","Robust IVW",-0.0307473461576426,0.00769889996837141,-0.0458369128162271,-0.0156577794990581,6.50412700934969e-05
"7","Penalized robust IVW",-0.0225593067276069,0.0058479131653801,-0.0340210059164695,-0.0110976075387443,0.000114474055060795
"8","MR-Egger",-0.0385801861711176,0.0331479218929406,-0.103548919243628,0.0263885469013928,0.244472855582172
"9","(intercept)",0.000145153287184471,0.000526702613560307,-0.000887164865956848,0.00117747144032579,0.782863991785989
"10","Penalized MR-Egger",-0.0305821776326717,0.0189015476604347,-0.0676285302991909,0.00646417503384758,0.10566860056348
"11","(intercept)",9.95647185382841e-05,0.000295838836018197,-0.000480268745285633,0.000679398182362201,0.736455750199681
"12","Robust MR-Egger",-0.047394972968731,0.027608074865499,-0.101505805387595,0.00671585945013253,0.0860327364699622
"13","(intercept)",0.000270295570108851,0.000404768074127546,-0.000523035277272777,0.00106362641749048,0.504274751677174
"14","Penalized robust MR-Egger",-0.0295233187757859,0.0149339809222782,-0.0587933835292595,-0.000253254022312376,0.0480504223154803
"15","(intercept)",8.85856486318615e-05,0.000237299869182036,-0.000376513548500995,0.000553684845764718,0.70892013536596
