"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",0.197650445003991,0.0941292691336895,0.0131604676108815,0.3821404223971,0.0357484898444868
"2","Weighted median",0.160187308315748,0.094633721175533,-0.0252913769113019,0.345665993542798,0.0905109582941198
"3","Penalized weighted median",0.282158847761396,0.0950729884317333,0.095819214532606,0.468498480990187,0.00299926773294313
"4","IVW",0.112978769740487,0.107322670739623,-0.0973697996338246,0.323327339114799,0.292477678859559
"5","Penalized IVW",0.262076108567445,0.0719899350521798,0.120978428615795,0.403173788519095,0.000272156825618771
"6","Robust IVW",0.161238479661329,0.129502080134335,-0.0925809333249873,0.415057892647645,0.213107936987594
"7","Penalized robust IVW",0.269298525582572,0.0762190737240071,0.119911886148515,0.418685165016629,0.000410535382485474
"8","MR-Egger",0.273805524466408,0.525995239392015,-0.757126200781464,1.30473724971428,0.602682006826867
"9","(intercept)",-0.00259726330035989,0.00831229775254506,-0.0188890675241214,0.0136945409234017,0.754690706799911
"10","Penalized MR-Egger",0.606494731537569,0.371636909892512,-0.12190022717751,1.33488969025265,0.102688955951143
"11","(intercept)",-0.00606379101856354,0.00574487484626669,-0.0173235388129363,0.00519595677580926,0.29119069271461
"12","Robust MR-Egger",0.314706597277109,0.635012276677633,-0.929894594751836,1.55930778930605,0.620182750447058
"13","(intercept)",-0.00254427349091326,0.0101239311752332,-0.0223868139763326,0.017298266994506,0.801572279680482
"14","Penalized robust MR-Egger",0.59023623521913,0.43182022184607,-0.256115847395263,1.43658831783352,0.171670319455999
"15","(intercept)",-0.00578445524209751,0.00781272124202067,-0.0210971074977091,0.00952819701351403,0.459063807083512
