"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",-0.247778596058944,0.0426397639235824,-0.331350997658456,-0.164206194459432,6.21100924084753e-09
"2","Weighted median",-0.248655974587685,0.0408344808186799,-0.328690086319689,-0.168621862855681,1.13360858763009e-09
"3","Penalized weighted median",-0.265766973229778,0.0414310750147751,-0.346970388099514,-0.184563558360041,1.41121537386523e-10
"4","IVW",-0.129717170798116,0.112474805426629,-0.35016373860246,0.0907293970062275,0.248787351496455
"5","Penalized IVW",-0.26289179554629,0.0268130306727276,-0.315444369981204,-0.210339221111376,1.07542355220007e-22
"6","Robust IVW",-0.15651303620926,0.0860073602696674,-0.32508436474317,0.012058292324649,0.0687950616093721
"7","Penalized robust IVW",-0.26593709677529,0.0427459511244372,-0.349717621464096,-0.182156572086483,4.92926580558614e-10
"8","MR-Egger",-0.896796200780216,0.501338194593501,-1.87940100625781,0.0858086046973793,0.0736462474038051
"9","(intercept)",0.0116828810368432,0.00744821003243786,-0.00291534237602486,0.0262811044497113,0.116753106546305
"10","Penalized MR-Egger",-0.943393529934809,0.119256891968589,-1.17713274310143,-0.70965431676819,2.66453525910038e-15
"11","(intercept)",0.0118103653878445,0.00181151365795854,0.00825986386074339,0.0153608669149457,7.04896141456857e-11
"12","Robust MR-Egger",-0.477483451948224,0.435851895325403,-1.33173746937953,0.376770565483087,0.273289909459328
"13","(intercept)",0.00488668859738264,0.00649247153784608,-0.00783832178744706,0.0176116989822123,0.451648237618254
"14","Penalized robust MR-Egger",-1.35003921553949,0.585974697909929,-2.49852851929469,-0.201549911784289,0.021227097462069
"15","(intercept)",0.0161992803212035,0.00744008535544748,0.00161698098262253,0.0307815796597844,0.0294583668063932
