"","Method","Estimate","Std Error","95% CI "," ","P-value"
"1","Simple median",-0.2340276152586,0.0604485624452895,-0.352504620568588,-0.115550609948613,0.000108160272932378
"2","Weighted median",-0.237564179221928,0.0571002935680767,-0.349478698122023,-0.125649660321834,3.17590391696191e-05
"3","Penalized weighted median",-0.277952659016326,0.05595671200883,-0.387625799246913,-0.16827951878574,6.78985017264824e-07
"4","IVW",-0.207814950389764,0.218569589411055,-0.63620347375114,0.220573572971611,0.341708270940976
"5","Penalized IVW",-0.236636009004767,0.0368729562753143,-0.308905675307903,-0.164366342701631,1.38436345506182e-10
"6","Robust IVW",-0.249370169389751,0.181166150883898,-0.60444930033994,0.105708961560438,0.168675489907107
"7","Penalized robust IVW",0.168553610132715,0.310705072362564,-0.440417141511821,0.777524361777251,0.587482733591008
"8","MR-Egger",-1.45991188456717,1.2423639995689,-3.89490057941134,0.975076810277006,0.239951507322457
"9","(intercept)",0.020090835764459,0.0196243616640493,-0.0183722063166661,0.0585538778455842,0.305943850595537
"10","Penalized MR-Egger",-1.71817161613229,0.174201262142461,-2.05959981599293,-1.37674341627164,0
"11","(intercept)",0.0237975662798406,0.00276451161815803,0.0183792230734083,0.0292159094862729,0
"12","Robust MR-Egger",-0.737548168473683,1.45610134462054,-3.59145436177028,2.11635802482291,0.612489862355206
"13","(intercept)",0.00748757521940647,0.0217287055346321,-0.0350999050591487,0.0500750554979616,0.730399836364654
"14","Penalized robust MR-Egger",-1.33067461584202,0.473795490264552,-2.25929671279804,-0.402052518886,0.00497663636888657
"15","(intercept)",0.0155761726047249,0.0099938253487955,-0.00401136514669769,0.0351637103561476,0.119095907602656
