"","test","model","robust","penalized","estimate","std_error","cilower","ciupper","pvalue","heter_Q","heter_pvalue","fstat","exposure","outcome"
"1","mr_ivw_randomeffects","random",FALSE,FALSE,-0.0912681764178867,0.0506779367960704,-0.190595107348982,0.00805875451320842,0.0717115507322914,1369.59269672691,1.34839532225082e-237,45.0997166439576,"Oily Fish","Triglycerides"
"2","mr_stg_ivw_randomeffects","random",FALSE,FALSE,-0.0912681764178867,0.0506779367960704,-0.190595107348982,0.00805875451320842,0.0717115507322914,1369.59269672691,1.34839532225082e-237,45.0997166439576,"Oily Fish","Triglycerides"
"3","mr_ttest_ivw_randomeffects","random",FALSE,FALSE,-0.116288492424847,0.031623512076825,-0.178269437160091,-0.0543075476896025,0.000235734704992608,322.177678167816,2.72865008474509e-38,43.114846351442,"Oily Fish","Triglycerides"
"4","mr_pve_ivw_randomeffects","random",FALSE,FALSE,-0.0836649941001799,0.0794700533513302,-0.239423436518264,0.0720934483179039,0.292438883720309,1270.70213829873,5.02750097492837e-236,44.1174335463117,"Oily Fish","Triglycerides"
"5","mr_core_ivw_randomeffects","random",FALSE,FALSE,-0.130106135966357,0.0522462981845712,-0.232506998733657,-0.027705273199057,0.0127654698229936,222.911259821743,2.3557249635404e-31,39.8327923585455,"Oily Fish","Triglycerides"
"6","mr_ivw_randomeffects","random",FALSE,FALSE,0.0262462630808151,0.0718947411265701,-0.114664840205093,0.167157366366723,0.715062788751259,220.567152481997,8.89078492818761e-16,45.2572209173817,"Oily fish","Cardiovascular Disease"
"7","mr_stg_ivw_randomeffects","random",FALSE,FALSE,0.0262462630808151,0.0718947411265701,-0.114664840205093,0.167157366366723,0.715062788751259,220.567152481997,8.89078492818761e-16,45.2572209173817,"Oily fish","Cardiovascular Disease"
"8","mr_ttest_ivw_randomeffects","random",FALSE,FALSE,-0.062017159319,0.0830225458897823,-0.224738359167797,0.100704040529797,0.455068522790325,171.395178806843,6.76318015063452e-13,43.3784747029199,"Oily fish","Cardiovascular Disease"
"9","mr_pve_ivw_randomeffects","random",FALSE,FALSE,0.109006816529208,0.105565775943361,-0.0978983023198053,0.31591193537822,0.30179291858841,180.977173582873,2.60451167936624e-17,44.2064943910023,"Oily fish","Cardiovascular Disease"
"10","mr_core_ivw_randomeffects","random",FALSE,FALSE,-0.0184974357143925,0.149032353592843,-0.310595481287604,0.273600609858819,0.901222706805566,136.994237459549,1.28359166425922e-15,39.9601121218883,"Oily fish","Cardiovascular Disease"
"11","mr_ivw_randomeffects","random",FALSE,FALSE,-0.0551809074066882,0.0738975764665585,-0.200017495825938,0.0896556810125611,0.45523170314548,1741.57930769779,0,42.5201524998444,"Oily fish","Height"
"12","mr_stg_ivw_randomeffects","random",FALSE,FALSE,-0.0406943103407445,0.0512736973062808,-0.141188910415263,0.0598002897337743,0.427388534777142,766.14354941269,2.38382359308379e-125,43.0906274284237,"Oily fish","Height"
"13","mr_ttest_ivw_randomeffects","random",FALSE,FALSE,0.00924837929667577,0.053135271056684,-0.0948948382831984,0.11339159687655,0.861823425865163,572.704804397809,5.9044200067289e-91,40.5651162141856,"Oily fish","Height"
"14","mr_pve_ivw_randomeffects","random",FALSE,FALSE,-0.132545571270538,0.110015647787242,-0.348172278669377,0.0830811361283007,0.228285016783656,1620.2423810964,3.50082960254478e-315,40.7287150215998,"Oily fish","Height"
"15","mr_core_ivw_randomeffects","random",FALSE,FALSE,-0.00774075369376819,0.0774959465969475,-0.159630017971625,0.144148510584088,0.920434896994821,353.718796740956,1.21560510004187e-58,36.8461208807873,"Oily fish","Height"
"16","mr_ivw_randomeffects","random",FALSE,FALSE,-0.148161987352303,0.232000653620141,-0.602874912837532,0.306550938132926,0.523065315267873,13044.0416482702,0,37.0019277192099,"White vs Whole Grain Bread","LDL Cholesterol"
"17","mr_stg_ivw_randomeffects","random",FALSE,FALSE,0.10034232422659,0.0265003032894119,0.0484026841999543,0.152281964253225,0.000152809009454018,162.999126223302,3.64621449427437e-14,36.9285847521885,"White vs Whole Grain Bread","LDL Cholesterol"
"18","mr_ttest_ivw_randomeffects","random",FALSE,FALSE,0.108479890128581,0.0255941620434893,0.0583162543088595,0.158643525948302,2.25055996611654e-05,98.0098905531662,8.94714483179649e-07,36.0811653663651,"White vs Whole Grain Bread","LDL Cholesterol"
"19","mr_pve_ivw_randomeffects","random",FALSE,FALSE,-0.198483058386526,0.296810692623529,-0.780221326155031,0.383255209381978,0.503674511118571,12984.6464559635,0,38.3050847504093,"White vs Whole Grain Bread","LDL Cholesterol"
"20","mr_core_ivw_randomeffects","random",FALSE,FALSE,0.12770435676338,0.0328615982306488,0.0632968077568829,0.192111905769877,0.000101856073270684,83.8254287188753,1.77369775210806e-07,37.4526817795597,"White vs Whole Grain Bread","LDL Cholesterol"
"21","mr_ivw_randomeffects","random",FALSE,FALSE,-0.0731461788525812,0.151611808782658,-0.370299863697565,0.224007505992402,0.629481335780658,278.664813869061,4.26309746723141e-37,36.5105069895017,"White vs Whole Grain Bread","Cardiovascular Disease"
"22","mr_stg_ivw_randomeffects","random",FALSE,FALSE,-0.0731461788525812,0.151611808782658,-0.370299863697565,0.224007505992402,0.629481335780658,278.664813869061,4.26309746723141e-37,36.5105069895017,"White vs Whole Grain Bread","Cardiovascular Disease"
"23","mr_ttest_ivw_randomeffects","random",FALSE,FALSE,0.152259049595585,0.097990029315661,-0.0397978787071349,0.344315977898304,0.120226914747025,78.2162955609142,2.44546298648033e-05,35.3844527153227,"White vs Whole Grain Bread","Cardiovascular Disease"
"24","mr_pve_ivw_randomeffects","random",FALSE,FALSE,-0.202264915046148,0.191445891498652,-0.577491967371669,0.172962137279373,0.290734281860735,244.884164288413,1.46868091194855e-35,37.7680824078269,"White vs Whole Grain Bread","Cardiovascular Disease"
