"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"1","Simple median",0.119154893914909,0.0352536359459176,0.0500590371368233,0.188250750692994,0.000725037531974829,"all",65
"2","Simple median",0.119154893914909,0.0353667648969043,0.0498373084672808,0.188472479362536,0.000754084440746349,"filtered",63
"21","Weighted median",0.0729678037951069,0.0346574782305923,0.00504039466816494,0.140895212922049,0.0352566314694084,"all",65
"22","Weighted median",0.0729291517758611,0.0356461158698714,0.00306404848217157,0.142794255069551,0.0407641031381074,"filtered",63
"3","Penalized weighted median",0.100332487882398,0.0348978214433613,0.0319340147145005,0.168730961050296,0.00403981620483703,"all",65
"31","Penalized weighted median",0.100243038463725,0.0352711825789559,0.0311127909168352,0.169373286010615,0.00448221729078824,"filtered",63
"4","IVW",0.0734545717988327,0.066992077216539,-0.0578474867951101,0.204756630392775,0.27287465394344,"all",65
"41","IVW",0.0726342625380431,0.0529084228991065,-0.0310643408230199,0.176332865899106,0.169805247149117,"filtered",63
"5","Penalized IVW",0.132448733668739,0.0234268612058511,0.0865329294344525,0.178364537903026,1.57018940975001e-08,"all",65
"51","Penalized IVW",0.132448733668739,0.0238017147868714,0.0857982299161769,0.179099237421302,2.62646094003963e-08,"filtered",63
"6","Robust IVW",0.0734477693854788,0.0715792349147061,-0.0668449530882771,0.213740491859235,0.304842366713963,"all",65
"61","Robust IVW",0.0737446978236457,0.0719685743295294,-0.0673111158809257,0.214800511528217,0.305514602503717,"filtered",63
"7","Penalized robust IVW",0.150898001395876,0.0480637218342715,0.0566948376377526,0.245101165154,0.00169213021354347,"all",65
"71","Penalized robust IVW",0.147973430986214,0.0432692928564045,0.0631671753511455,0.232779686621283,0.000626613175118193,"filtered",63
"8","MR-Egger",-0.0700195484280667,0.270703630702638,-0.600588915089468,0.460549818233334,0.795899445273809,"all",65
"81","MR-Egger",-0.0166532262751932,0.210785575742264,-0.42978536319057,0.396478910640183,0.937028223955303,"filtered",63
"9","(intercept)",0.00221731060552672,0.00405197469239846,-0.00572441385784202,0.0101590350688955,0.584229459826176,"all",65
"91","(intercept)",0.00138010481510723,0.00315237783056958,-0.00479844219847165,0.00755865182868611,0.661532696613885,"filtered",63
"10","Penalized MR-Egger",0.0531041276525093,0.152815279811178,-0.24640831706481,0.352616572369829,0.728211698183561,"all",65
"101","Penalized MR-Egger",0.0748954400434485,0.157656573511595,-0.234105765965269,0.383896646052166,0.634748239581307,"filtered",63
"11","(intercept)",0.000694144056320079,0.00207018961359664,-0.00336335302749824,0.00475164114013839,0.73739534011657,"all",65
"111","(intercept)",0.00033151053028797,0.00213278455898153,-0.00384867039209898,0.00451169145267492,0.876477963823473,"filtered",63
"12","Robust MR-Egger",-0.260175551375769,0.435008980179827,-1.11277748547973,0.592426382728191,0.549778301923068,"all",65
"121","Robust MR-Egger",-0.298829538221279,NA,NA,NA,NA,"filtered",63
"13","(intercept)",0.00464313901662073,0.00583824616186189,-0.00679961319350778,0.0160858912267492,0.426440822108624,"all",65
"131","(intercept)",0.00515293209808455,NA,NA,NA,NA,"filtered",63
"14","Penalized robust MR-Egger",0.430984719296538,0.299407088005412,-0.155842389910084,1.01781182850316,0.150020053295589,"all",65
"141","Penalized robust MR-Egger",0.430915698619491,0.262158469096524,-0.0829054590518526,0.944736856290834,0.100233595733578,"filtered",63
"15","(intercept)",-0.00366742763201242,0.00389671461568121,-0.0113048479367784,0.00396999267275359,0.346623436535143,"all",65
"151","(intercept)",-0.00379073315563745,0.00351799839279047,-0.0106858833031766,0.00310441699190165,0.281245542288599,"filtered",63
