"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"1","Simple median",-0.0591847768587315,0.0324761141095682,-0.122836790871298,0.00446723715383528,0.0683928836115118,"all",60
"2","Simple median",-0.0511033206937787,0.0341707343517081,-0.118076729348412,0.0158700879608547,0.134776463812248,"filtered",57
"21","Weighted median",-0.0458944444212498,0.0326816601831005,-0.109949321335103,0.0181604324926038,0.160233277353999,"all",60
"22","Weighted median",-0.0357446334861132,0.0328804942306665,-0.100189217972097,0.0286999509998701,0.276989282108083,"filtered",57
"3","Penalized weighted median",-0.060023681817612,0.033233868042557,-0.12516086624798,0.00511350261275633,0.0709027549302398,"all",60
"31","Penalized weighted median",-0.04564689943011,0.0337136071340779,-0.111724355201835,0.0204305563416152,0.175748913205344,"filtered",57
"4","IVW",-0.0551809074066882,0.0738975764665585,-0.200017495825938,0.0896556810125611,0.45523170314548,"all",60
"41","IVW",-0.0406943103407445,0.0512736973062808,-0.141188910415263,0.0598002897337743,0.427388534777142,"filtered",57
"5","Penalized IVW",-0.0597822286372079,0.0233444669061418,-0.105536543011533,-0.0140279142628829,0.0104409340441251,"all",60
"51","Penalized IVW",-0.054132401575912,0.0240712637823305,-0.101311211651643,-0.00695359150018088,0.0245227284105661,"filtered",57
"6","Robust IVW",-0.0494661205511833,0.055015217177205,-0.157293964820154,0.0583617237177878,0.368580629034262,"all",60
"61","Robust IVW",-0.0404301605073165,0.053726105686699,-0.145731392682839,0.0648710716682061,0.451736264876279,"filtered",57
"7","Penalized robust IVW",-0.144866150088334,0.335277344024411,-0.801997669208426,0.512265369031757,0.665684320852445,"all",60
"71","Penalized robust IVW",-0.0713011138953679,0.119700992094462,-0.305910747314226,0.16330851952349,0.551402268204441,"filtered",57
"8","MR-Egger",-0.501855681366654,0.32770535663031,-1.14414637790291,0.140435015169607,0.125664761960879,"all",60
"81","MR-Egger",-0.107015026116364,0.232023182938396,-0.561772108253968,0.347742056021241,0.644636774236673,"filtered",57
"9","(intercept)",0.00691235871444278,0.00494277808808233,-0.00277530832177234,0.0166000257506579,0.161970042151781,"all",60
"91","(intercept)",0.00102741050357471,0.00350404085089665,-0.00584038336453982,0.00789520437168923,0.769363672615637,"filtered",57
"10","Penalized MR-Egger",-0.610919168266434,0.114392354006713,-0.835124062226348,-0.38671427430652,9.2660179529247e-08,"all",60
"101","Penalized MR-Egger",-0.183386452038806,0.113563277074823,-0.405966385071803,0.0391934809941904,0.106345482502425,"filtered",57
"11","(intercept)",0.00819716209792851,0.00169754172578402,0.00487004145313786,0.0115242827427192,1.3732878056949e-06,"all",60
"111","(intercept)",0.00212077577342655,0.00172723181671374,-0.00126453638028407,0.00550608792713717,0.219504545585895,"filtered",57
"12","Robust MR-Egger",-0.182247175575984,0.26893445482532,-0.709349021235525,0.344854670083557,0.497984810835631,"all",60
"121","Robust MR-Egger",-0.160668622204156,0.27235733356832,-0.694479186923424,0.373141942515113,0.555245308981732,"filtered",57
"13","(intercept)",0.00206579173380436,0.00410044828644945,-0.00597093922810554,0.0101025226957143,0.614404346560313,"all",60
"131","(intercept)",0.00187108679055409,0.0041680081509745,-0.00629805907262531,0.0100402326537335,0.653492038327592,"filtered",57
"14","Penalized robust MR-Egger",-0.754197790462035,0.331367472922126,-1.40366610303745,-0.104729477886616,0.0228450302867425,"all",60
"141","Penalized robust MR-Egger",-0.614063470809465,0.310296861012131,-1.22223414290907,-0.00589279870985748,0.0478210925052729,"filtered",57
"15","(intercept)",0.0097178606971304,0.00426127516949667,0.00136591483670213,0.0180698065575587,0.0225777355836199,"all",60
"151","(intercept)",0.00788521072272488,0.00427395448530764,-0.00049158614004151,0.0162620075854913,0.0650455477253296,"filtered",57
