"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"1","Simple median",-0.175933290156302,0.0445357088889993,-0.263221675604701,-0.0886449047079031,7.8024894678234e-05,"all",34
"2","Simple median",-0.0775971157748967,0.0477389210688199,-0.171163681730584,0.0159694501807907,0.10406721555965,"filtered",29
"21","Weighted median",-0.178040099055003,0.0448317629895602,-0.265908739877977,-0.0901714582320291,7.14833794453613e-05,"all",34
"22","Weighted median",-0.0725644915909016,0.0461932757014547,-0.163101648293682,0.0179726651118789,0.116208520029237,"filtered",29
"3","Penalized weighted median",-0.177205985061189,0.0459115580245356,-0.2671909852634,-0.0872209848589783,0.000113514729969381,"all",34
"31","Penalized weighted median",-0.0562392141224828,0.0453129837571903,-0.145051030318624,0.0325726020736586,0.214558457454332,"filtered",29
"4","IVW",-0.184580466962259,0.164730322338251,-0.507445965906905,0.138285031982386,0.262500388612495,"all",34
"41","IVW",-0.105228974037387,0.0686102281764514,-0.239702550234307,0.0292446021595334,0.12509821097431,"filtered",29
"5","Penalized IVW",-0.198567611972416,0.0327492766578834,-0.262755014741606,-0.134380209203226,1.3338387138926e-09,"all",34
"51","Penalized IVW",-0.105846275320578,0.0340049278787171,-0.172494709259746,-0.0391978413814108,0.00185400310215208,"filtered",29
"6","Robust IVW",-0.160349872289468,0.10735039303448,-0.370752776363268,0.0500530317843313,0.135252610881152,"all",34
"61","Robust IVW",-0.0921113092771912,0.0794745895322903,-0.247878642446584,0.0636560238922018,0.246454851493335,"filtered",29
"7","Penalized robust IVW",0.0089626002198422,0.172819093875633,-0.329756599617244,0.347681800056929,0.958639315329364,"all",34
"71","Penalized robust IVW",-0.10782403424343,0.0525116870134464,-0.210745049557224,-0.0049030189296351,0.0400401920115931,"filtered",29
"8","MR-Egger",-1.09519948218118,0.940830768023853,-2.93919390305509,0.748794938692732,0.244392798116455,"all",34
"81","MR-Egger",-0.371906043202584,0.422592225275851,-1.20017158488989,0.456359498484721,0.378827409939519,"filtered",29
"9","(intercept)",0.014756387999513,0.0150102077933878,-0.0146630786759894,0.0441758546750155,0.325563053073013,"all",34
"91","(intercept)",0.0043233010316852,0.00675808905216958,-0.0089223101148816,0.017568912178252,0.522353081920655,"filtered",29
"10","Penalized MR-Egger",-1.23521779853693,0.203075681045428,-1.63323881952191,-0.837196777551947,1.18286669348322e-09,"all",34
"101","Penalized MR-Egger",-0.735381356144208,0.243482894233347,-1.21259905969314,-0.258163652595273,0.00252558771938993,"filtered",29
"11","(intercept)",0.0169314582245442,0.00314274292660979,0.010771795275721,0.0230911211733674,7.14532377710242e-08,"all",34
"111","(intercept)",0.00979872771425023,0.0037553449565563,0.00243838684987576,0.0171590685786247,0.009073429279159,"filtered",29
"12","Robust MR-Egger",-0.0387672510437249,0.951919591066839,-1.90449536571283,1.82696086362538,0.967514858238914,"all",34
"121","Robust MR-Egger",-0.298093871914063,0.821177397897967,-1.9075719967124,1.31138425288427,0.7165989927997,"filtered",29
"13","(intercept)",-0.00203862113681976,0.0148728454358982,-0.0311888625388111,0.0271116202651716,0.890975453832408,"all",34
"131","(intercept)",0.00324395780244863,0.0124224154865751,-0.0211035291522313,0.0275914447571285,0.793986518656929,"filtered",29
"14","Penalized robust MR-Egger",0.386075299907664,NA,NA,NA,NA,"all",34
"141","Penalized robust MR-Egger",-0.800521058879444,0.300228135728254,-1.38895739205242,-0.212084725706463,0.00766739136193872,"filtered",29
"15","(intercept)",-0.00943938489680779,NA,NA,NA,NA,"all",34
"151","(intercept)",0.0106692899386483,0.00432737093016452,0.00218779876778025,0.0191507811095163,0.0136808327501827,"filtered",29
