"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"1","Simple median",0.12563881857287,0.0229557126880541,0.0806464484648348,0.170631188680905,4.42240457802371e-08,"all",51
"2","Simple median",0.13102753160285,0.0224687699705184,0.0869895516837192,0.175065511521981,5.49181315210576e-09,"filtered",50
"21","Weighted median",0.122641721510929,0.0230753926739622,0.0774147829408437,0.167868660081014,1.06758667196105e-07,"all",51
"22","Weighted median",0.124582089256287,0.0227497514682031,0.0799933957213722,0.169170782791203,4.34567279211697e-08,"filtered",50
"3","Penalized weighted median",0.136902764365878,0.0231701264246522,0.0914901510563203,0.182315377675436,3.45049453985652e-09,"all",51
"31","Penalized weighted median",0.137202733448165,0.0229140903594304,0.0922919416051847,0.182113525291145,2.12827180951327e-09,"filtered",50
"4","IVW",-0.148161987352303,0.232000653620141,-0.602874912837532,0.306550938132926,0.523065315267873,"all",51
"41","IVW",0.10034232422659,0.0265003032894119,0.0484026841999543,0.152281964253225,0.000152809009454018,"filtered",50
"5","Penalized IVW",0.119346402743865,0.0176975517164511,0.0846598387650858,0.154032966722644,1.54437841125628e-11,"all",51
"51","Penalized IVW",0.119957280003442,0.0176351439406695,0.0853930330175505,0.154521526989334,1.03053547634693e-11,"filtered",50
"6","Robust IVW",0.124991045450309,0.0197910798609088,0.0862012417077716,0.163780849192846,2.6924710303523e-10,"all",51
"61","Robust IVW",0.125236431411848,0.0195991875866828,0.086822729615705,0.163650133207991,1.66017389527902e-10,"filtered",50
"7","Penalized robust IVW",0.125045941744895,0.0192583052386532,0.0873003570738556,0.162791526415934,8.40924713355067e-11,"all",51
"71","Penalized robust IVW",0.125325878267633,0.0190858673116677,0.0879182657230543,0.162733490812212,5.15382751518416e-11,"filtered",50
"8","MR-Egger",-1.18294783697656,1.17734071692601,-3.4904932396841,1.12459756573098,0.315011210655903,"all",51
"81","MR-Egger",0.0833365425842978,0.135630309715796,-0.182493979670676,0.349167064839271,0.538925316078552,"filtered",50
"9","(intercept)",0.0175658101379058,0.0195922935404411,-0.0208343795758956,0.0559659998517072,0.369949842161027,"all",51
"91","(intercept)",0.000287567869096174,0.0022483904448329,-0.00411919642596031,0.00469433216415265,0.898228557636364,"filtered",50
"10","Penalized MR-Egger",-0.40563896147754,0.190917195112595,-0.779829787927633,-0.0314481350274468,0.0336128793340644,"all",51
"101","Penalized MR-Egger",0.112362009794533,0.0905070275388874,-0.0650285045294607,0.289752524118528,0.214431152881657,"filtered",50
"11","(intercept)",0.00747722661251011,0.00288651425699745,0.00181976262793372,0.0131346905970865,0.0095864461375883,"all",51
"111","(intercept)",8.47003399533736e-05,0.00150894351349799,-0.00287277460120801,0.00304217528111475,0.955236481462148,"filtered",50
"12","Robust MR-Egger",0.0851112165481716,0.090726160140521,-0.0927087897828628,0.262931222879206,0.348187325625867,"all",51
"121","Robust MR-Egger",0.0855632710940384,0.0913466022356548,-0.093472779397951,0.264599321586028,0.348919042866195,"filtered",50
"13","(intercept)",0.000701152069045613,0.00172303968194013,-0.00267594365149039,0.00407824778958161,0.684061306221422,"all",51
"131","(intercept)",0.000697972096700702,0.00174003345502939,-0.0027124308070517,0.0041083750004531,0.688327597536345,"filtered",50
"14","Penalized robust MR-Egger",-0.864884590536412,0.234773150897747,-1.32503151083298,-0.404737670239841,0.000229677866663502,"all",51
"141","Penalized robust MR-Egger",0.0965051835595166,0.0934943575982744,-0.0867403900908099,0.279750757209843,0.301976893893228,"filtered",50
"15","(intercept)",0.0156057670454088,0.00377437392489919,0.00820813008841927,0.0230034040023983,3.55474717874671e-05,"all",51
"151","(intercept)",0.000508054151917685,0.00183144213712524,-0.00308150647661685,0.00409761478045222,0.781467907832826,"filtered",50
