"","variant","description","exposure","outcome"
"1","2:633063:G:A","Comparative body size at age 10","whiteXwholegrain","GCST90132314_CVD_Aragam"
"2","16:53800954:T:C","Comparative body size at age 10","whiteXwholegrain","GCST90132314_CVD_Aragam"
"3","18:57855319:G:GA","Comparative body size at age 10","whiteXwholegrain","GCST90132314_CVD_Aragam"
"4","2:633063:G:A","Comparative height size at age 10","whiteXwholegrain","GCST90132314_CVD_Aragam"
"5","6:26200677:A:G","Comparative height size at age 10","whiteXwholegrain","GCST90132314_CVD_Aragam"
"6","19:45411941:T:C","Mother still alive","whiteXwholegrain","GCST90132314_CVD_Aragam"
"7","19:45411941:T:C","Non-cancer illness code, self-reported: high cholesterol","whiteXwholegrain","GCST90132314_CVD_Aragam"
"8","19:45411941:T:C","Treatment/medication code: simvastatin","whiteXwholegrain","GCST90132314_CVD_Aragam"
"9","6:26200677:A:G","Sitting height","whiteXwholegrain","GCST90132314_CVD_Aragam"
"10","20:34159129:A:AG","Sitting height","whiteXwholegrain","GCST90132314_CVD_Aragam"
"11","19:45411941:T:C","Illnesses of father: Alzheimer's disease/dementia","whiteXwholegrain","GCST90132314_CVD_Aragam"
"12","19:45411941:T:C","Illnesses of mother: Alzheimer's disease/dementia","whiteXwholegrain","GCST90132314_CVD_Aragam"
"13","6:26200677:A:G","Forced expiratory volume in 1-second (FEV1), predicted","whiteXwholegrain","GCST90132314_CVD_Aragam"
"14","20:34159129:A:AG","Forced expiratory volume in 1-second (FEV1), predicted","whiteXwholegrain","GCST90132314_CVD_Aragam"
"15","2:633063:G:A","Body mass index (BMI)","whiteXwholegrain","GCST90132314_CVD_Aragam"
"16","16:53800954:T:C","Body mass index (BMI)","whiteXwholegrain","GCST90132314_CVD_Aragam"
"17","18:57855319:G:GA","Body mass index (BMI)","whiteXwholegrain","GCST90132314_CVD_Aragam"
"18","2:633063:G:A","Weight","whiteXwholegrain","GCST90132314_CVD_Aragam"
"19","6:26200677:A:G","Weight","whiteXwholegrain","GCST90132314_CVD_Aragam"
"20","16:53800954:T:C","Weight","whiteXwholegrain","GCST90132314_CVD_Aragam"
"21","18:57855319:G:GA","Weight","whiteXwholegrain","GCST90132314_CVD_Aragam"
"22","2:633063:G:A","Weight","whiteXwholegrain","GCST90132314_CVD_Aragam"
